KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
chpdescM32I,Get your stuff from your Personal Cargo Box and prepare yourself for the adventure out there. You can use this base as a good start to craft some stuff or seek shelter. But remember: everyone can use this base - your stuff is not protected.,,,,,,,,Получите свои вещи из своего личного шкафчика и приготовьтесь к приключениям там. Вы можете использовать эту базу как хорошее начало для создания чего-либо или поиска убежища. Но помните: каждый может использовать эту базу - ваши вещи не защищены.,,,,,,,,
chpcompleteM32I,Well done! You are now good to go [c][ff6600]Invader[-][/c],,,,,,,,Отлично сработано! Теперь отправляйтесь к[ff8000] Захватчику[-],,,,,,,,
tasktitleM32I,Follow the PDA instructions,,,,,,,,Следуйте инструкциям КПК,,,,,,,,
acttitleM32I-1,Grab everything from your Personal Cargo Box,,,,,,,,Возьмите все с вашего личного шкафчика,,,,,,,,
actdescM32I-1,\nLook at your right and open your Personal Cargo Box. There is everything you need for a good start. However this is an one time service. If you die or come back later you won't get these items again. So use your start inventory wisely!,,,,,,,,"Посмотрите направо и откройте свой личный шкафчик. Здесь есть все необходимое для хорошего старта. Однако это разовая услуга. Если вы умрете или вернетесь позже, вы больше не получите эти предметы. Так что используйте свой стартовый инвентарь с умом!",,,,,,,,
actcompleteM32-1,Well done! You are now good to go [c][ff6600]Invader[-][/c],,,,,,,,Отлично сработано! Теперь отправляйтесь к[ff8000] Захватчику[-],,,,,,,,
chptitleTraderResidenceI,Trader Residence Mission I,,,,,,,,Торговая резиденция Миссия I,,,,,,,,
preambleTraderResidenceI,Welcome to the [c][019245]Invader vs Defender[-][/c] Scenario [c][ff6600]Trader[-][/c]!\n\nThe official Eleon Server rules are on the official forums:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nThere you can also find rules or help if you need any.\n\nIf you find a bug please report it there aswell.\n\nNow have fun and prepare well for the Pandora planet!\nYou definetely want to be there...,,,,,,,,"Добро пожаловать в [00ff00]Захватчики против Защитников[-] Сценарий [ff8000]Торговец[-]!\n\nОфициальные правила Eleon Server находятся на официальных форумах:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nТам вы также можете найти правила или помощь, если вам это нужно.\n\nЕсли вы нашли ошибку, пожалуйста, сообщите о ней там же.Теперь веселитесь и хорошо готовьтесь к планете Пандора! Вы определенно хотите быть там...",,,,,,,,
chpdescTraderResidenceI,Get your stuff from your Personal Cargo Box and prepare yourself for the adventure out there. You can use this base as a good start to craft some stuff or seek shelter. But remember: everyone can use this base - your stuff is not protected.,,,,,,,,Получите свои вещи из своего личного шкафчика и приготовьтесь к приключениям там. Вы можете использовать эту базу как хорошее начало для создания чего-либо или поиска убежища. Но помните: каждый может использовать эту базу - ваши вещи не защищены.,,,,,,,,
chpcompleteTraderResidenceI,Well done! You are now good to go [c][ff6600]Trader[-][/c],,,,,,,,Отлично сработано! Теперь отправляйтесь к[ff8000] Торговцу[-],,,,,,,,
tasktitleTraderResidenceI,Follow the PDA instructions,,,,,,,,Следуйте инструкциям КПК,,,,,,,,
acttitleTraderResidenceI-1,Grab everything from your Personal Cargo Box,,,,,,,,Возьмите все с вашего личного шкафчика,,,,,,,,
actdescTraderResidenceI-1,\nLook at your right and open your Personal Cargo Box. There is everything you need for a good start. However this is an one time service. If you die or come back later you won't get these items again. So use your start inventory wisely!,,,,,,,,"Посмотрите направо и откройте свой личный шкафчик. Здесь есть все необходимое для хорошего старта. Однако это разовая услуга. Если вы умрете или вернетесь позже, вы больше не получите эти предметы. Так что используйте свой стартовый инвентарь с умом!",,,,,,,,
actcompleteTraderResidence-1,Well done! You are now good to go [c][ff6600]Trader[-][/c],,,,,,,,Отлично сработано! Теперь отправляйтесь к[ff8000] Торговцу[-],,,,,,,,
chptitleFactionMissionI,Faction Mission I,,,,,,,,Миссия фракции I,,,,,,,,
chpdescFactionMissionI,As soon as you have a faction / team you can start your journey towards the Alien Mission.,,,,,,,,"Как только у вас появится фракция / команда, вы можете начать свой путь к Миссии Чужих.",,,,,,,,
chpcompleteFactionMissionI,Good job and take this as a reward!,,,,,,,,Хорошая работа и возьмите это в награду!,,,,,,,,
tasktitleFactionMissionI,Prepare for the first Alien mission,,,,,,,,Подготовьтесь к первой миссии пришельцев,,,,,,,,
acttitleFactionMissionI-1,Find the portal,,,,,,,,Найти портал,,,,,,,,
actdescFactionMissionI-1,\nFly to [c][ff6600]Unknown Sector 7[-][/c] and find the Alienship Mission portal. You have only [c][ff6600]10 minutes[-][/c] - so don't waste your time in there.,,,,,,,,Летите к [ff8000]Неизвестному Сектору 7[-] и найдите портал миссии пришельцев. У вас есть только [ff8000]10 минут[-] - так что не тратьте свое время там.,,,,,,,,
acttitleFactionMissionI-2,Activate the lever,,,,,,,,Активировать рычаг,,,,,,,,
actdescFactionMissionI-2,\nFind the level in the Alien Ship to activate the portal out! Watch out - it is very good protected!,,,,,,,,"Найдите уровень в инопланетном корабле, чтобы активировать портал! Осторожно - он очень хорошо защищен!",,,,,,,,
chptitleSurvivalBasecamp,Escape Pod Mission I,Escape Pod Mission I,,,,,,,Спасательная капсула Миссия I,,,,,,,,
preambleEscapePodStart,You barely escaped with the last escape pod from the Titan Destroyer. However you got split from the rest of your crew and need to survive on that planet now. You only heard rumors about Aliens and some circumstances from other explorers on Kelt/Mato/Mercenary Camp.\n\nThe official Eleon Server rules are on the official forums:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nThere you can also find rules or help if you need any.\n\nIf you find a bug please report it there aswell.\n\nNow have fun and prepare well for the Pandora planet!\nYou definetely want to be there...,,,,,,,,"Ты едва сбежал с последней спасательной капсулой от Разрушителя Титанов. Однако вы отделены от остальной части вашей команды и вам нужно выжить на этой планете сейчас. Вы слышали только слухи об инопланетянах и некоторых обстоятельствах от других исследователей на Kelt / Mato / в лагере наемников.\n\nОфициальные правила Eleon Server находятся на официальных форумах:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nТам вы также можете найти правила или помощь, если вам это нужно.\n\nЕсли вы нашли ошибку, пожалуйста, сообщите о ней там же.\nТеперь веселитесь и хорошо готовьтесь к планете Пандора! Вы определенно хотите быть там...",,,,,,,,
chpdescSurvivalBasecamp,"The first mission will teach you how to manage your stuff, find food and oxygen, set up your first crafting table, create a better weapon and more.\n\nIn short: it will help you to survive the first hours of the game!\n\nEach mission contains a number of main- and sub-tasks to follow as well as valuable background info and tips at the end of each task-page.\n\nFore more details please refert to the PDA Knowledgebase! \n\n[c][ff6600]You can always activate and deactivate each mission manually![-][/c]","Dir ist gerade noch so die Flucht in der letzten Fluchtkapsel von der Ex-7 Station gelungen. Allerdings wurdest du von deinem Team getrennt und bist jetzt auf dich allein gestellt auf dem Planeten.\nDu hast nur Gerüchte von Aliens und Schwierigkeiten von anderen Erkundern auf Kelt/Mato/Mercenary Camp gehört.\nDas erste Mission dieser Übungseinheit wird dir zeigen, wie du deine Ausrüstung organisiert, wie du an Nahrung und Sauerstoff kommst, deine ersten Gegenstände herstellst und vieles mehr um die ersten Spielstunden zu überstehen.\n\nJedes Mission enthält eine Reihe von Haupt- und Nebenaufgaben die du erfüllen musst. Am Ende jeder Aufgabe findest du Tipps, die dir weiterhelfen können.\n\nWeitere Informationen findest du in der PDA Wissensdatenbank!\n\n[c][ff6600]Du kannst jedes Mission jederzeit von Hand  aktivieren und deaktivieren[-][/c]",,,,,,,"Первая миссия научит вас, как управлять своими вещами, находить еду и кислород, настраивать свой первый стол для крафта, создавать лучшее оружие и многое другое.\n\nКороче говоря: это поможет вам выжить в первые часы игры!\n\nКаждая миссия содержит ряд основных и несколько подзадач, а также ценную справочную информацию и советы в конце каждой страницы задачи..\n\nДля более подробной информации, пожалуйста, обратитесь к базе знаний КПК! \n\n[ff8000]Вы всегда можете активировать и деактивировать каждую миссию вручную![-]",,,,,,,,
tasktitleCheckStartEquipment,Check your Starting Equipment,Prüfe deine Startausrüstung,,,,,,,Проверьте ваше стартовое снаряжение,,,,,,,,
taskheadCheckStartEquipment,Check your starting equipment from Escape Pod,Prüfe deine Startausrüstung der Notlandekapsel,,,,,,,Проверьте ваше стартовое снаряжение из Спасательной капсулы,,,,,,,,
acttitleOpenEscPod,Open Escape Pod Inventory,Kapsel Inventar öffnen,,,,,,,Откройте инвентарь Спасательной капсулы,,,,,,,,
actdescOpenEscPod,"Access Escape Pod inventory by aiming at it and pressing 'F'.\n\n[b]Hint:[/b] Any device in Empyrion can be accessed by hitting 'F'.\n\n[b]To change the keys, just remap them via OPTIONS > CONTROLS ![/b]","Greife auf das Inventar der Notlandekapsel zu indem du darauf schaust und 'F' drückst.\n\n[b]Tipp:[/b] Der Zugriff auf jedes Gerät in Empyrion erfolgt auf diese Weise.\n\n[b]Um die Tasten zu ändern, belege sie unter OPTIONEN > STEUERUNG einfach neu![/b]",,,,,,,"Войдите в инвентарь Спасательной капсулы, наведя на нее курсор и нажав [ff8000]F[-].\n\n[b]Подсказка:[/b] любое устройство в Empyrion можно открыть, нажав [ff8000]F[-].\n\n[b]Чтобы изменить ключи, просто переназначьте их через ОПЦИИ > УПРАВЛЕНИЕ ![/b]",,,,,,,,
acttitleGrabEquipment,Grab your Equipment,Ausrüstung mitnehmen,,,,,,,Заберите снаряжение,,,,,,,,
actdescGrabEquipment,"There is a 'Collect All' arrow on the top right edge of the escape capsule inventory. Click it and all the stuff will be moved to your player inventory!\n\n[b]Important:[/b] Pick up ALL the stuff, because the capsule will DESPAWN after a few minutes. Items that are left in the inventory will be LOST!\n\n[u]Tips:[/u]\n- Move the Pistol, Drill, Chainsaw, Small Medikit and other devices like the Survival Constructor to your toolbar. You'll need those items soon.\n- You can easily move any item with SHIFT-LeftMouse-click between your toolbar and your inventory.\n- You do not need to add ammo or charges to your toolbar, weapons and tools will be reloaded from your inventory.\n-You can consume items like food or consumables from your toolbar (Place them in a free slot and use LeftMouse-Click) OR from your inventory as well (SHIFT-RightMouse-Click on an item)\n- Blocks or devices you want to place  have to be moved to the toolbar.","Beachte den 'Nimm alles'-Pfeil rechts oben des Notlandekapsel-Inventars. Klcike auf diesen, um alle Elemente in dein Spieler-Inventar zu verschieben!\n\n[b]Wichtig:[/b] Nimm ALLE Gegenstände aus der Kapsel, denn diese verschwindet nach kurzer Zeit. Alles was dann noch im Inventar der Kapsel ist, geht dir verloren!\n\n[b]Tipps[/b]\n- Verschiebe die Pistole, Bohrer, Kettensäge sowie das kleine MediKit und andere Items wie den Survival Constructor in deine Toolbar. Du brauchst diese Sachen bald.\n- Du kannst einzelne Gegenstände und ganze Stapel auch mittels SHIFT-Linke-Maustaste-Klick zwischen deiner Toolbar und dem Inventar hin- und her verschieben.\n- Munition oder Ladungen für Werkzeuge brauchst du nicht in die Toolbar verschieben, Waffen und Werkzeuge werden direkt aus deinem Inventar nachgeladen.\n- Essen oder andere Verbrauchsgegenstände kannst du entweder in deine Toolbar ablegen und benutzen (Linke-Maustaste-Click) ODER direkt aus dem Inventar (SHIFT+RechteMaustaste)\n- Blocks oder Geräte die du platzieren willst, musst du ebenfalls vorher in die Toolbar gelegt haben.*",,,,,,,"В правом верхнем углу инвентаря спасательной капсулы есть стрелка [u][b]Собрать все[/b][/u]. Нажмите на нее, и все вещи будут перемещены в инвентарь вашего игрока!\n\n[b]Важно:[/b] соберите [b]ВСЕ[/b] вещи, потому что капсула будет [b]УДАЛЕНА[/b] через несколько минут. Предметы, оставленные в инвентаре, будут потеряны!\n\n[b]Подсказки:[/b]\n- Переместите пистолет, бур, бензопилу, малую аптечку и другие устройства, такие как Аварийный конструктор, на свою панель инструментов. Вам скоро понадобятся эти предметы.\n- Вы можете легко перемещать любой предмет с помощью SHIFT-ЛКМ между панелью инструментов и вашим инвентарем.\n- Вам не нужно добавлять боеприпасы или заряды на панель инструментов, оружие и инструменты будут перезаряжаться из вашего инвентаря.\n- Вы можете использовать такие предметы, как продукты питания или расходные материалы, с панели инструментов (поместите их в свободный слот и используйте ЛКМ) ИЛИ из своего инвентаря (SHIFT-ПКМ)\n- Блоки или устройства, которые вы хотите разместить, должны быть перемещены на панель инструментов.",,,,,,,,
tasktitlePlSurvConstr,Place Survival Constructor,Überlebenskonstruktor platzieren,,,,,,,Разместите Аварийный конструктор,,,,,,,,
acttitlePlSurvConstr,Place Survival Constructor,Überlebenskonstruktor platzieren,,,,,,,Разместите Аварийный конструктор,,,,,,,,
actdescPlSurvConstr,"Select the Survival Constructor by scrolling with the mouse to its slot or use the number keys to quick select it from the toolbar. A preview of the device is now shown in your HUD. If it is surrounded by a red wireframe, the terrain may be too steep or uneven. Move the preview around until the wireframe turns blue. Before placing the survival constructor, find a suitable place, preferably close to a lake or an important ore deposit (like Iron or Promethium) ahead of building your camp.  \n\nALL blocks in Empyrion are placed this way, be it terrain-placeables like the Survival Constructor or blocks added to a vessel or base.\n\n[b]Important:[/b]\nThe Survival Constructor is capable of creating a few basic devices and cooking some meals. You can refine ore and build basic blocks,but it is missing the capabilities of a Small, Large or Advanced Constructor AND you  need to create all device components manually.\nIts advantage: the Survival Constructor doesn't need fuel packs or other energy types to operate!\n\n[u]Tips:[/u]\n- The Survival Constructor can be used to store a few extra items freeing up your inventory space to collect more items.\n- The Survival Constructor has a marker on the radar map to help you find your camping spot.\n\n[b]The Survival Constructor, as well as the O2 Generator, H2O2 Generator and Water Generator, can be picked up again by aming at it an pressing SHIFT+F! (Exception: Starter Blocks. See Chapter 2+3 for more info)[/b]","Wählen den Überlebenskonstruktor aus, indem du mit dem Mausrad auf seinen Ablageplatz in deiner Toolbar scrollst - oder nutze die zugehörige Nummerntaste. Es erscheint eine Vorschau des Geräts in deinem Sichtbereich  auf dem Helmvisier (HUD). Wenn die Vorschau von einem roten Drahtgitter umfasst ist, dann ist eventuell der Boden zu abschüssig oder es gibt sonst einen Grund, warum das Gerät hier nicht platziert werden kann. Suche nach einer Stelle, an welcher der Rahmen blau wird um den Überlebenskonstruktor absetzen zu können. Suche jedoch erst nach einem passenden Platz für dein Camp. Idealerweise in der Nähe eines Sees oder eines wichtigen Ressourcenvorkommens (wie z.B. Eisen oder Promethium).\n\nALLE Blöcke im Spiel werden auf diese Weise platziert, egal ob Geräte wie der Überlebenskonstruktor, der direkt auf dem Planetenboden gesetzt werden kann, oder Blöcke die du an deine Raumschiffe oder Weltraumbasen anfügst.\n\n[b]WICHTIG:[/b]\nDer Überlebenskonstruktor kann einige grundlegende Geräte sowie ein paar einfache Gerichte herstellen. Du kannst mit ihm Erze raffinerieren und einfache Blöcke herstellen. Ihm fehlen darüber hinaus allerdings die Möglichkeiten für komplexere Gerätschaften, wie sie der Kleine, Große und Verbesserte Konstruktor erzeugen können UND du musst alle Zwischen-Komponenten selbst herstellen.\nSein Vorteil: Er braucht keinen Brennstoff da er mit Solarenergie betrieben wird.\n\n[u]Tipps:[/u]\n- Im Überlebenskonstruktor kannst du Dinge zwischenlagern und somit etwas mehr Stauraum in deinem persönlichen Inventar frei halten!\n- Der Überlebenskonstruktor wird mit einem Symbol auf deiner Radarkarte und auch auf der großen Planetenkarte angezeigt. So findest du immer zu deinem Camp zurück!\n\n[b]Der Überlebenskonstruktor, sowie andere, direkt auf Terrain/im Wasser platzierbaren Geräte (O2 Generator, H2O2 Generator, Wasser Generator) können wieder aufgesammelt werden: Ziele auf das Gerät und drücke SHIFT-F! (Ausnahme: Starter Blöcke. Siehe Mission 2 und 3) [/b]",,,,,,,"Выберите Аварийный конструктор, прокрутив мышь до нужного места или воспользуйтесь цифровыми клавишами, чтобы быстро выбрать его на панели инструментов. Предварительный просмотр устройства теперь отображается в вашем HUD. Если он окружен красным каркасом, местность может быть слишком крутой или неровной. Перемещайте предварительный просмотр, пока каркас не станет синим. Перед тем, как поместить Аварийный конструктор, найдите подходящее место, предпочтительно рядом с озером или важным рудным месторождением (таким как железо или прометий), перед тем как строить свой лагерь. \n\nВСЕ блоки в Empyrion размещаются таким образом, будь то размещаемые на местности, такие как Аварийный конструктор или блоки, добавленные к судну или базе.\n\n[b]Важно:[/b] \nАварийный конструктор способен создать несколько базовых устройств и приготовить несколько блюд. Вы можете обрабатывать руду и делать  базовые блоки, но в нем отсутствуют возможности Малого, Большого или Продвинутого Конструктора, и вам необходимо создавать все компоненты устройств вручную.\nЕго преимущество: конструктору выживания не нужны топливо или другие виды энергии для работы!\n\n[b]Подсказки:[/b] \n- Аварийный конструктор можно использовать для хранения нескольких дополнительных предметов, освобождая пространство инвентаря и для сбора большего числа предметов.\n- Аварийный конструктор имеет маркер на карте радара, который поможет вам найти свое место кемпинга.\n\nАварийный конструктор, а также генератор O2, генератор H2O2 и генератор воды можно снова забрать, нажав на них SHIFT+F! (Исключение: блоки Основ. См. Главу 2 + 3 для получения дополнительной информации).",,,,,,,,
tasktitleBasicCrafting,Basic Crafting,Einfache Produktionsvorgänge,,,,,,,Основы крафта,,,,,,,,
acttitleAddCraftingMats,Add Crafting Materials,Baumaterial hinzufügen,,,,,,,Добавить материалы для крафта,,,,,,,,
actdescAddCraftingMats,"To start crafting basic items, access the Survival Constructor (D). Hold SHIFT and left-mouse-click on the resources in your inventory. This will transfer them to the constructor's inventory. At least add the promethium pellets, but consider to add all of the following: all of the ingots (Iron, Silicon,..), Magnesium Powder and the Core block.","Um die grundlegenden Dinge herzustellen, öffne zuerst den Überlebenskonstruktor (F). Halte SHIFT gedrückt und klicke mit der linken Maustaste auf die Erze und Ressourcen in deinem persönlichen Inventar. Das verschiebt die angeklickten Stapel in das Inventar des Überlebenskonstruktors. Füge auf jeden Fall die Promethiumpellets hinzu. Du solltest aber auch alle Erze (Eisen, Silikon,....), sowie das Magnesiumpulver und den Kern-Block in das Konstruktor Inventar verschieben.",,,,,,,"Чтобы начать создавать основные предметы, получите доступ к Аварийному конструктору ([ff8000]F[-]). Удерживайте SHIFT и щелкните левой кнопкой мыши на ресурсы в вашем инвентаре. Это перенесет их в инвентарь конструктора. По крайней мере, добавьте гранулы прометия, но подумайте над тем, чтобы добавить все следующее: все слитки (железо, кремний, ...), магниевый порошок и блок Ядра.",,,,,,,,
acttitleFuelPackTempl,Add Fuel Pack Templates,Kraftstoffz. Vorl. wählen,,,,,,,Добавить шаблоны топливной ячейки,,,,,,,,
actdescFuelPackTempl,Open the COMPONENTS template folder on the top right edge of the constructor screen. Hold SHIFT and use left-mouse click on the Fuel Pack (Promethium) template twice. This will add 20 templates to the construction queue.,Klicke in der oberen rechten Ecke des Inventars auf  das Symbol für KOMPONENTEN. Halte SHIFT gedrückt und klicke zwei Mal mit der linken Maustaste auf  die Vorlage für Kraftstoffzelle (Promethium). Das fügt 20 Vorlagen in die Warteschlange hinzu.,,,,,,,Откройте папку с шаблонами [b]КОМПОНЕНТЫ[/b] в правом верхнем углу экрана конструктора. Удерживайте SHIFT и дважды щелкните левой кнопкой мыши на шаблоне [00ffff]Топливная ячейка (прометий)[-]. Это добавит 20 шаблонов в очередь производства.,,,,,,,,
acttitleBike,Add Motorbike Template,Motorrad Vorl. einfügen,,,,,,,Добавить шаблон мотоцикла,,,,,,,,
actdescBike,"Before starting the Constructor, also add the Template for the Motorbike. Open the DEVICES tab and click on the template once. You need to move the Motorbike Construction Kit to the Constructor Inventory as well","Bevor du den Überlebenskonstruktor aktivierst, füge der Warteschlage noch das Motorrad-Template hinzu. Öffne den Reiter GERÄTE und klicke einmal auf das Template. Du musst hierfür erst den Motorradbausatz in das Inventar des Überlebenskonstruktors legen.",,,,,,,Перед запуском конструктора также добавьте шаблон для мотоцикла. Откройте вкладку УСТРОЙСТВА и один раз нажмите на шаблон. Вам также необходимо перенести комплект для сборки мотоцикла в Инвентарь конструктора.,,,,,,,,
acttitleStartProduction,Start Production,Produktion starten,,,,,,,Начать производство,,,,,,,,
actdescStartProduction,"Find the ON/OFF switch on the top right edge of the constructor screen. Click once to set to ON. The constructor will now start to work on the queued templates. When the construction has finished, you'll find the crafted items in the constructor inventory on the left.\n\n[u]Tips:[/u]\n- If you want to remove the template that is currently produced from the construction queue, you first need to switch the constructor to OFF!\n- You can remove all other templates from the queue by clicking on the template in the queue even if the Constructor is ON.\n- You can always add MORE or DIFFERENT templates to the construction queue.\n- Holding SHIFT while clicking on an item or a stack of items either in your player inventory or a device inventory, will move them back and forth between them.\n- Holding SHIFT while clicking on a template stack in the queue will remove 10 templates at once\n- Holdins SHIFT while clicking on a template in the Constructor Tab will add 10 templates to the constructor queue.","Klicke auf den Schalter On/Off oben rechts im Inventar des Überlebenskonstruktors. Der Konstruktor nimmt nun die Arbeit auf und produziert die fertigen Gegenstände in der Reihenfolge wie sie in der Warteschlange angelegt wurden. Wenn die Produktion abgeschlossen ist, findest du den hergestellten Gegenstand im Inventar des Überlebenskonstruktors.\n\n[u]Tipps:[/u]\n- Wenn du eine Vorlage die gerade aktiv hergestellt wird  aus der Warteschlange entfernen willst, musst du den Konstruktor erst abschalten.\n- Alle anderen Vorlagen kannst du jederzeit aus der Warteschlange entfernen, indem du einfach auf den jeweiligen Warteschlangen-Stapel klickst.\n- Du kannst jederzeit andere oder mehr der gleichen Vorlagen in die Warteschlange hinzufügen.\n- Wenn du SHIFT gedrückt hältst, während du auf einen Stapel oder einen einzelnen Gegenstand klickst, wird dieser automatisch zwischen deinem Inventar und dem Inventar des gerade geöffneten Gerätes hin- und her verschoben.\n- Wenn du SHIFT gedrückt hältst, während du auf einen Stabel in der Warteschlange klickst, werden 10 Vorlagen auf einen Schlag entfernt.\n- Wenn du SHIFT gedrückt hältst, während du auf eine Vorlage in der Konstruktor Auswahl klickst, werden 10 Vorlagen in die Warteschlange hinzugefügt.",,,,,,,"Найдите переключатель ВКЛ / ВЫКЛ в правом верхнем углу экрана конструктора. Нажмите один раз, чтобы включить. Конструктор теперь начнет работать с шаблонами в очереди. Когда строительство закончится, вы найдете созданные предметы в инвентаре конструктора слева.\n\n[u][b]Подсказки:[/b][/u] \n- Если вы хотите удалить шаблон, который в данный момент создается из очереди конструирования, сначала нужно переключить конструктор на ВЫКЛ!\n- Вы можете удалить все другие шаблоны из очереди, щелкнув шаблон в очереди, даже если Конструктор включен.\n- Вы всегда можете добавить БОЛЬШЕ или РАЗНЫЕ шаблоны в очередь построения.\n- Удерживая SHIFT, нажимая на предмет или стопку предметов в вашем инвентаре игрока или в инвентаре устройства, вы будете перемещать их вперед и назад между ними.\n- Удержание клавиши SHIFT при нажатии на стак шаблонов в очереди приведет к удалению 10 шаблонов одновременно.\n- Удерживание SHIFT при нажатии на шаблон на вкладке конструктора добавит 10 шаблонов в очередь конструктора.",,,,,,,,
tasktitleOxygenSupply,Oxygen Supply,Sauerstoffversorgung,,,,,,,Поставка кислорода,,,,,,,,
acttitlePlaceOxGen,Place O2 Generator,O2 Generator platzieren,,,,,,,Разместить генератор O2,,,,,,,,
actdescPlaceOxGen,To place a standard O2 Generator find a nearby lake and place the generator knee-deep in the water. An Emergency O2 Generator can be placed everywhere.,Zum Platzieren eines Standard Sauerstoff-Generators suche einen See in der Nähe und platziere den Generator knietief im Wasser. Ein Notfall O2 Generator kann überall platziert werden.,,,,,,,"Чтобы разместить стандартный генератор O2, найдите ближайшее озеро и поместите генератор по колено в воду. Аварийный генератор O2 может быть установлен везде.",,,,,,,,
acttitlePowerOxGen,Power O2 Generator,O2 Generator aktivieren,,,,,,,Запитка Генератора О2,,,,,,,,
