KEY,English,Russian
ConcreteFull,Concrete Block,Бетонный блок
ConcreteFullDestroyed,Concrete Block - Destroyed,Бетонный блок - разбитый
ConcreteThin,Concrete Block,Бетонный блок
ConcreteThinBlocks,Concrete Blocks (thin),Бетонные блоки (тонкие)
ConcreteThinDestroyed,Concrete Blocks (thin) - Destroyed,Бетонные блоки (тонкие) - разбитые
GrowingPot,Growing Plot (Steel),Растительный модуль (Сталь)
GrowingPotConcrete,Growing Plot (Concrete),Растительный модуль (Бетон)
GrowingPotWood,Growing Plot (Wood),Растительный модуль (Дерево)
HullArmoredFull,Hardened Steel Block,Прочный стальной блок
HullArmoredFullLarge,Hardened Steel Block L,Прочный стальной блок Б
HullArmoredFullSmall,Hardened Steel Block S,Прочный стальной блок М
HullArmoredLargeBlocks,Hardened Steel Blocks L,Прочные стальные блоки Б
HullArmoredSmallBlocks,Hardened Steel Blocks S,Прочные стальные блоки М
HullArmoredThin,Hardened Steel Block,Прочный стальной блок
HullArmoredThinLarge,Hardened Steel Block L,Прочный стальной блок Б
HullArmoredThinLargeBlocks,Hardened Steel Blocks L (thin),Прочные стальные блоки Б (тонкие)
HullArmoredThinSmall,Hardened Steel Block S,Прочный стальной блок М
HullArmoredThinSmallBlocks,Hardened Steel Blocks S (thin),Прочные стальные блоки М (тонкие)
HullCombatFullLarge,Combat Steel Block L,Блок из оружейной стали Б
HullCombatLargeBlocks,Combat Steel Blocks L,Блоки из оружейной стали Б
HullCombatThinLarge,Combat Steel Block L,Блок из оружейной стали Б
HullCombatThinLargeBlocks,Combat Steel Blocks L (thin),Блоки из оружейной стали Б (тонкие)
HullDestroyed,Steel Blocks - Destroyed,Стальные блоки - разбитые
HullFull,Steel Block,Стальной блок
HullFullLarge,Steel Block L,Стальной блок Б
HullFullLargeDestroyed,Steel Block L - Destroyed,Стальной блок Б - разбитый
HullFullSmall,Steel Block S,Стальной блок М
HullFullSmallDestroyed,Steel Block S - Destroyed,Стальной блок М - разбитый
HullLargeBlocks,Steel Blocks L,Стальные блоки Б
HullLargeDestroyedBlocks,Steel Blocks L - Destroyed,Стальные блоки Б - разбитые
HullSmallBlocks,Steel Blocks S,Стальные блоки М
HullSmallDestroyedBlocks,Steel Blocks S - Destroyed,Стальные блоки М - разбитые
HullThin,Steel Block,Стальной блок
HullThinLarge,Steel Block L,Стальной блок Б
HullThinLargeBlocks,Steel Blocks L (thin),Стальные блоки Б (тонкие)
HullThinLargeDestroyed,Steel Blocks L (thin) - Destroyed,Стальные блоки Б (тонкие) - разбитые
HullThinSmall,Steel Block S,Стальной блок М
HullThinSmallBlocks,Steel Blocks S (thin),Стальные блоки М (тонкие)
HullThinSmallDestroyed,Steel Blocks S (thin) - Destroyed,Стальной блок М (тонкий) - разбитый
RailingDiagonal,Railing Diagonal,Перила диагональные
RailingDiagonalGlass,Glass Railing Diagonal,Стеклянные перила диагональные
RailingDiagonalGlassInv,Glass Railing Diagonal,Стеклянные перила диагональные
RailingL,Railing L-Shape,Перила L-образные
RailingLGlass,Glass Railing L-Shape,Стеклянные перила L-образные
RailingLGlassInv,Glass Railing L-Shape,Стеклянные перила L-образные
RailingRound,Railing Round,Перила круглые
RailingRoundGlass,Glass Railing Round,Стеклянные перила скругленные
RailingRoundGlassInv,Glass Railing Round,Стеклянные перила скругленные
RailingSlopeGlassLeft,Glass Railing Slope (left),Стеклянные перила наклонные (левые)
RailingSlopeGlassLeftInv,Glass Railing Slope (left),Стеклянные перила наклонные (левые)
RailingSlopeGlassRight,Glass Railing Slope (right),Стеклянные перила наклонные (правые)
RailingSlopeGlassRightInv,Glass Railing Slope (right),Стеклянные перила наклонные (правые)
RailingSlopeLeft,Railing Slope (left),Перила наклонные (левые)
RailingSlopeRight,Railing Slope (right),Перила наклонные (правые)
RailingVert,Railing,Перила
RailingVertGlass,Glass Railing,Стеклянные перила
RailingVertGlassInv,Glass Railing,Стеклянные перила
RampSteep,Ramp Steep,Крутой пандус
Stairs1x1x1,Stairs Wedge (texturable),Лестничный пролет (окрашиваемый)
StairsMS,Stairs Freestanding,Лестница
StairsWedge,Stairs Wedge,Лестничный пролет
StairsWedgeLong,Stairs Wedge Long,Длинный лестничный пролет
TrussCorner,Corner,Угол
TrussCornerRoundThin,Round Slope Thin,Скругленный скос тонкий
TrussCornerRoundThin2,Corner Round Thin 2,Скругленный угол тонкий
TrussCornerThin,Thin Corner,Тонкий угол
TrussCube,Cube,Куб
TrussCurveOutSlope,Curved Corner,Закругленный угол
TrussCylinder,Cylinder,Цилиндр
TrussHalfRound,Round Corner,Четверть полусферы
TrussLargeBlocks,Truss Blocks L,Блоки стропил Б
TrussQuarterRound,Round Slope,Скругленный скос
TrussQuarterRoundInv,Inward Round Slope,Обратная четверть круга
TrussQuarterRoundThin,Round Slope Thin,Скругленный скос тонкий
TrussSmallBlocks,Truss Blocks S,Блоки стропил М
TrussWall,Wall,Стена
TrussWedge,Slope,Скос
TrussWedgeThin,Thin Slope,Тонкий скос
WalkwayBlocks,Walkway & Railings,Дорожки & Ограждения
WalkwaySlope,Walkway Slope,Дорожка наклонная
WalkwaySlopeNew,Walkway Slope 2,Дорожка наклонная 2
WalkwayVert02,Walkway 2,Дорожка 2
WalkwayVertNew,Walkway,Дорожка
Window_3side1x1,Vertical Corner,Вертикальный угол
Window_3side1x1Inv,Vertical Corner,Вертикальный угол
Window_3side1x1Thick,Vertical Corner,Вертикальный угол
Window_3side1x1ThickInv,Vertical Corner,Вертикальный угол
Window_c1x1,Corner 1x1,Угловое 1х1
Window_c1x1Inv,Corner 1x1,Угловое 1х1
Window_c1x1Thick,Corner 1x1,Угловое 1х1
Window_c1x1ThickInv,Corner 1x1,Угловое 1х1
Window_c1x2,Corner 1x2,Угловое 1х2
Window_c1x2Inv,Corner 1x2,Угловое 1х2
Window_c1x2Thick,Corner 1x2,Угловое 1х2
Window_c1x2ThickInv,Corner 1x2,Угловое 1х2
Window_cc1x1,Corner Thin,Угол тонкий
Window_cc1x1Inv,Corner Thin,Угол тонкий
Window_cc1x1Thick,Corner Thin,Угол тонкий
Window_cc1x1ThickInv,Corner Thin,Угол тонкий
Window_cr1x1,Round Vertical,Полукруг
Window_cr1x1Inv,Round Vertical,Полукруг
Window_cr1x1Thick,Round Vertical,Полукруг
Window_cr1x1ThickInv,Round Vertical,Полукруг
Window_crc1x1,Round Corner,Скругленный угол
Window_crc1x1Inv,Round Corner,Скругленный угол
Window_crc1x1Thick,Round Corner,Скругленный угол
Window_crc1x1ThickInv,Round Corner,Скругленный угол
Window_crctw1x1,Round Corner Thin,Скругленный угол тонкий
Window_crctw1x1Inv,Round Corner Thin,Скругленный угол тонкий
Window_crctw1x1Thick,Round Corner Thin,Скругленный угол тонкий
Window_crctw1x1ThickInv,Round Corner Thin,Скругленный угол тонкий
Window_creA1x1,Connector A,Соединитель A
Window_creA1x1Inv,Connector A,Соединитель A
Window_creA1x1Thick,Connector A,Соединитель A
Window_creA1x1ThickInv,Connector A,Соединитель A
Window_creB1x1,Connector B,Соединитель B
Window_creB1x1Inv,Connector B,Соединитель B
Window_creB1x1Thick,Connector B,Соединитель B
Window_creB1x1ThickInv,Connector B,Соединитель B
Window_crl1x1,Round Corner Long,Скругленный угол длинный
Window_crl1x1Inv,Round Corner Long,Скругленный угол длинный
Window_crl1x1Thick,Round Corner Long,Скругленный угол длинный
Window_crl1x1ThickInv,Round Corner Long,Скругленный угол длинный
Window_crsd1x1,Round Side,Полукруг боковое
Window_crsd1x1Inv,Round Side,Полукруг боковое
Window_crsd1x1Thick,Round Side,Полукруг боковое
Window_crsd1x1ThickInv,Round Side,Полукруг боковое
Window_crse1x1,Round Corner Edge,Круглый уголок
Window_crse1x1Inv,Round Corner Edge,Круглый уголок
Window_crse1x1Thick,Round Corner Edge,Круглый уголок
Window_crse1x1ThickInv,Round Corner Edge,Круглый уголок
Window_L1x1,Vertical L-Shape,Вертикальный L-образный
Window_L1x1Inv,Vertical L-Shape,Вертикальный L-образный
Window_L1x1Thick,Vertical L-Shape,Вертикальный L-образный
Window_L1x1ThickInv,Vertical L-Shape,Вертикальный L-образный
Window_s1x1,Slope 1x1,Наклонное 1х1
Window_s1x1Inv,Slope 1x1,Наклонное 1х1
Window_s1x1Thick,Slope 1x1,Наклонное 1х1
Window_s1x1ThickInv,Slope 1x1,Наклонное 1х1
Window_s1x2,Slope 1x2,Наклонное 1х2
Window_s1x2Inv,Slope 1x2,Наклонное 1х2
Window_s1x2Thick,Slope 1x2,Наклонное 1х2
Window_s1x2ThickInv,Slope 1x2,Наклонное 1х2
Window_sd1x1,Side 1x1,Боковое 1х1
Window_sd1x1Inv,Side 1x1,Боковое 1х1
Window_sd1x1Thick,Side 1x1,Боковое 1х1
Window_sd1x1ThickInv,Side 1x1,Боковое 1х1
Window_sd1x2,Side 1x2,Боковое 1х2
Window_sd1x2Inv,Side 1x2,Боковое 1х2
Window_sd1x2Thick,Side 1x2,Боковое 1х2
Window_sd1x2ThickInv,Side 1x2,Боковое 1х2
Window_sd1x2V2,Side 2 1x2,Боковое 2 1х2
Window_sd1x2V2Inv,Side 2 1x2,Боковое 2 1х2
Window_sd1x2V2Thick,Side 2 1x2,Боковое 2 1х2
Window_sd1x2V2ThickInv,Side 2 1x2,Боковое 2 1х2
Window_v1x1,Vertical 1x1,Вертикальное 1х1
Window_v1x1Inv,Vertical 1x1,Вертикальное 1х1
Window_v1x1Thick,Vertical 1x1,Вертикальное 1х1
Window_v1x1ThickInv,Vertical 1x1,Вертикальное 1х1
Window_v1x2,Vertical 1x2,Вертикальное 1х2
Window_v1x2Inv,Vertical 1x2,Вертикальное 1х2
Window_v1x2Thick,Vertical 1x2,Вертикальное 1х2
Window_v1x2ThickInv,Vertical 1x2,Вертикальное 1х2
Window_v2x2,Vertical 2x2,Вертикальное 2х2
Window_v2x2Inv,Vertical 2x2,Вертикальное 2х2
Window_v2x2Thick,Vertical 2x2,Вертикальное 2х2
Window_v2x2ThickInv,Vertical 2x2,Вертикальное 2х2
WindowArmoredLargeBlocks,Armored Windows L,Прочные окна Б
WindowArmoredSmallBlocks,Armored Windows S,Прочные окна М
WindowLargeBlocks,Windows L,Окна Б
WindowShutterLargeBlocks,Shutter Windows L,Окна с жалюзи Б
WindowShutterSmallBlocks,Shutter Windows S,Окна с жалюзи М
WindowSloped2MS,Slope Inv (non-transparent),Наклонное инв. (не прозр)
WindowSloped2ShutterArmored,Slope Inv (non-transparent),Наклонное инв. (не прозр)
WindowSlopedBase,Slope (transparent),Наклонное (прозр)
WindowSlopedMS,Slope (non-transparent),Наклонное (не прозр)
WindowSlopedShutterArmored,Slope (non-transparent),Наклонное (не прозр)
WindowSlopedShutterTransArmored,Slope (transparent),Наклонное (прозр)
WindowSmallBlocks,Windows S,Окна М
WindowVertBase,Vertical (transparent),Вертикальное (прозр)
WindowVertMS,Vertical (non-transparent),Вертикальное (не прозр)
WindowVertShutterArmored,Vertical (non-transparent),Вертикальное (не прозр)
WindowVertShutterTransArmored,Vertical (transparent),Вертикальное (прозр)
Wing12x9a,Wing A (12x9),Крыло A (12х9)
Wing12x9b,Wing B (12x9),Крыло B (12х9)
Wing12x9c,Wing C (12x9),Крыло C (12х9)
Wing12x9d,Wing D (12x9),Крыло D (12х9)
Wing12x9e,Wing E (12x9),Крыло E (12х9)
Wing6x5a,Wing A (6x5),Крыло A (6х5)
Wing6x5b,Wing B (6x5),Крыло B (6х5)
Wing6x5c,Wing C (6x5),Крыло C (6х5)
Wing6x5d,Wing D (6x5),Крыло D (6х5)
Wing6x5e,Wing E (6x5),Крыло E (6х5)
Wing6x9a,Wing A (6x9),Крыло A (6х9)
Wing6x9b,Wing B (6x9),Крыло B (6х9)
Wing6x9c,Wing C (6x9),Крыло C (6х9)
Wing6x9d,Wing D (6x9),Крыло D (6х9)
Wing6x9e,Wing E (6x9),Крыло E (6х9)
Wing9x6a,Wing A (9x6),Крыло A (9х6)
Wing9x6b,Wing B (9x6),Крыло B (9х6)
Wing9x6c,Wing C (9x6),Крыло C (9х6)
Wing9x6d,Wing D (9x6),Крыло D (9х6)
Wing9x6e,Wing E (9x6),Крыло E (9х6)
WingBlocks,Wings,Крылья
WoodBlocks,Wood Blocks,Деревянные блоки
WoodFull,Wood Block,Деревянный блок
WoodThin,Wood Block,Деревянный блок
WoodThinBlocks,Wood Blocks (thin),Деревянные блоки (тонкие)
AkuaFernDeco,Fern,Папоротник
AlienPalmTreeDeco,Fire Palm Tree,Огненная пальма
AlienTentacleDeco,Tentacle Tree,Щупальцевое дерево
Antenna,Antenna 06 (Deco),Антенна 06 (декор)
Antenna01,Antenna 01 (Deco),Антенна 01 (декор)
Antenna02,Antenna 02 (Deco),Антенна 02 (декор)
Antenna03,Antenna 03 (Deco),Антенна 03 (декор)
Antenna04,Antenna 04 (Deco),Антенна 04 (декор)
Antenna05,Antenna 05 (Deco),Антенна 05 (декор)
AntennaBlocks,Antennas (Deco),Антенны (декор)
ArmorPlate,Armor Plate,Бронеплита
BallFlower01Deco,Ball Flower,Шаровые цветы
BallTreeDeco,Ball Tree,Шаровое дерево
BathroomCounter,Bathroom Vanity,Ванная
Bed,Bed 2,Кровать 2
Bookshelf,Bookshelf,Книжный шкаф
BunkBed,Bunk Bed,Двухъярусная кровать
CapacitorMS,Capacitor (Deco),Конденсатор (декор)
CapacitorSS,Capacitor SV (Deco),Конденсатор МС (декор)
ConsoleLargeMS01,Console (Deco),Консоль управления (декор)
ConsoleLargeMS01a,Console (Deco),Консоль управления (декор)
ConsoleLargeMS02,Console (Deco),Консоль управления (декор)
ConsoleMapMS01,Console (Deco),Консоль управления (декор)
ConsoleMS01,Console (Deco),Консоль управления (декор)
ConsoleSmallMS01,Console (Deco),Консоль управления (декор)
ConsoleSmalNPC,Console NPC,Консоль НИП
ControlStation,Control Station,Станция управления
ControlStationNPC,Control Station NPC,Станция Управления НИП
DecoBlocks,Furnishings (Deco),Интерьер (декор)
DecoBlocks2,Tech Equipment (Deco),Техническое оборудование (декор)
ElderberryBushBlueDeco,Blue Bush,Синий куст
ElderberryBushDeco,Green Bush 02,Зеленый куст 2
FantasyPlant1Deco,Lava Plant,Лавовое растение
GlowTube01Deco,Glow Tube Flower,Светотрубчатый цветок
HollywoodJuniperDeco,Green Bush 01,Зеленый куст 1
HoloScreen01,Holographic Screen 01,Голографический экран 01
HoloScreen02,Holographic Screen 02,Голографический экран 02
HoloScreen03,Holographic Screen 03,Голографический экран 03
HoloScreen04,Holographic Screen 04,Голографический экран 04
HoloScreen05,Holographic Screen 05,Голографический экран 05
IndoorPlant01,Artificial Indoor Plant 1,Искусственное растение 1
IndoorPlant02,Artificial Indoor Plant 2,Искусственное растение 2
IndoorPlant03,Artificial Indoor Plant 3,Искусственное растение 3
IndoorPlants,Artificial Plants (Deco),Искусственные растения (декор)
InteriorBath,Interior Bathroom,Интерьер: душевая
InteriorKitchen,Interior Kitchen,Интерьер: кухня 1
InteriorKitchen02,Interior Kitchen 2,Интерьер: кухня 2
InteriorLiving,Interior Living Room,Интерьер: гостиная
InteriorLiving02,Interior Living Room 2,Интерьер: гостиная 2
KitchenCounter,Kitchen Counter,Кухонный стол
KitchenTable,Dining Table Bench,Обеденный стол
LabTable1,Lab Table 1,Лабораторный стол 1
LabTable2,Lab Table 2,Лабораторный стол 2
LabTable3,Lab Table 3,Лабораторный стол 3
Level4Prop2,Repository 1,Хранилище 1
Level4Prop3,Repository 2,Хранилище 2
Level5FreezerOpened,Cryo Chamber,Криокамера
LockerWShelves,Locker,Шкафчик
OnionFlowerDeco,Mega Onion Flower,Большой Лукоцвет
OperationTableWDrawers,Operating Table,Операционный стол
Props6BoxLarge1,Box Large 1,Ящик большой 1
Props6BoxLarge2,Box Large 2,Ящик большой 2
Props6BoxMedium1,Box Medium,Ящик средний
ReceptionTable,Reception Table,Стойка ресепшен
ReceptionTableCorner,Reception Table Corner,Стойка ресепшен угловая
ReceptionTableCornerThin,Reception Table Corner - Thin,Стойка ресепшен угловая - Тонкая
ReceptionTableNPC,Reception Table NPC,Стойка ресепшен НИП
ReceptionTableThin,Reception Table - Thin,Стойка ресепшен - Тонкая
SciencelabMS,Science Lab (Deco),Научная лаборатория (декор)
ScifiBed,Bed,Кровать
ScifiChair,Chair,Кресло
ScifiComputerTable,Computer Table,Компьютерный стол
ScifiContainer1,Cargo Box 1,Ящик хранения 1
ScifiContainer2,Cargo Box 2,Ящик хранения 2
ScifiContainerEnergy,Power Storage (Deco),Энергохранилища (декор)
ScifiContainerPower,Cargo Box 3,Ящик хранения 3
ScifiLargeSofa,Bench,Скамейка
ScifiLargeSofaNPC,Bench 2 NPC,Скамейка 2 НИП
ScifiMediaCenter,Media Center,Мультимедийный центр
ScifiNightstand,Small Table,Столик
ScifiPlant,Artificial Indoor Plant 4,Искусственное растение 4
ScifiSofa,Bench 2,Скамейка 2
ScifiSofaNPC,Bench NPC,Скамейка НИП
ScifiStorage,Closet,Стенной шкаф
ScifiTable,Table,Стол
ScifiTableNPC,Table 1 NPC,Стол 1 НИП
ScifiTableNPC2,Table 2 NPC,Стол 2 НИП
ScifiTableNPC3,Table 3 NPC,Стол 3 НИП
ScifiTableV2,Table 2,Стол 2
ScifiTableV2NPC,Table 2 NPC,Стол 2 НИП
Shower,Shower,Душ
SmallTable,Small Table,Маленький стол
Sofa,Sofa,Софа
SofaNPC,Sofa NPC,Кровать НИП
SolarBlock,Solar Panel Slope,Наклонная солнечная панель
SolarPanel,Solar Panel Plate,Солнечная панель
StandingNPC,Standing NPC,Стоящие НИП 1
StandingNPC2,Standing NPC 2,Стоящие НИП 2
TableTV,TV Table,ТВ-панель
Tank1,Tank 1,Бак 1
Tank2,Tank 2,Бак 2
Toilet,Toilet,Туалет
TurretRadar,Radar (Deco),Радар (декор)
Air,Container,Контейнер
AlienContainer,Alien Container,Контейнер инопланетян
AlienContainerRare,Alien Container (Rare),Контейнер инопланетян (редкий)
AlienContainerUltraRare,Alien Container (Ultra Rare),Контейнер инопланетян (редчайший)
AlienContainerVeryRare,Alien Container (Very Rare),Контейнер инопланетян (очень редкий)
AlienDeviceBlocks,Alien Blocks,Инопланетные блоки
ArmorLocker,Armor Locker,Шкаф амуниции
ArmorLockerSV,"Armor Locker (SV, HV)","Шкаф амуниции (МС, ПС)"
ATM,ATM,Банкомат
AutoMinerCore,Auto Miner Core,Ядро Экстрактора
AutoMiningDeviceT1,Auto Mining Device (T1),Экстрактор (К1)
AutoMiningDeviceT2,Auto Mining Device (T2),Экстрактор (К2)
AutoMiningDeviceT3,Auto Mining Device (T3),Экстрактор (К3)
Backpack,Backpack,Рюкзак
CloneChamber,Clone Chamber,Камера клонирования
CockpitBlocksCV,Cockpits CV,Кабины БС
CockpitBlocksSV,Cockpits,Кабины
CockpitMS01,Cockpit 1,Кабина 1
CockpitMS02,Cockpit 2,Кабина 2
CockpitMS03,Cockpit 3,Кабина 3
CockpitOpen2SV,Cockpit 2 (open),Кабина 2 (открытая)
CockpitOpenSV,Cockpit 1 (open),Кабина 1 (открытая)
CockpitSV,Cockpit (obsolete),Кабина (устаревшая)
CockpitSV_fighter,Cockpit (obsolete),Кабина (устаревшая)
CockpitSV_fighter_Noscale,Cockpit (obsolete),Кабина (устаревшая)
CockpitSV_ShortRange,Cockpit 2,Кабина 2
CockpitSV01,Cockpit 1,Кабина 1
CockpitSV02,Cockpit 3 (Legacy),Кабина 3 (Наследие)
CockpitSV02New,Cockpit 3,Кабина 3
CockpitSV03,Cockpit 8 (Legacy),Кабина 8 (Наследие)
CockpitSV04,Cockpit 4,Кабина 4
CockpitSV05,Cockpit 5 (Legacy),Кабина 5 (Наследие)
CockpitSV05New,Cockpit 5,Кабина 5
CockpitSV06,Cockpit 6,Кабина 6
CockpitSV07,Cockpit 6 (Legacy),Кабина 6 (Наследие)
CockpitSV07New,Cockpit 7,Кабина 7
ConsoleBlocks,Consoles (Deco),Консоли (декор)
ConstructorMS,Large Constructor (old - please replace),Большой конструктор (устарел - пожалуйста замените)
ConstructorRecursive,Advanced Constructor (old - please replace),Расширенный конструктор (устарел - пожалуйста замените)
ConstructorSV_Old,Mobile Constructor (old - please replace),Мобильный конструктор (устарел - пожалуйста замените)
ConstructorT1,Large Constructor (old - please replace),Большой конструктор (устарел - пожалуйста замените)
ConstructorT1V2,Large Constructor,Большой конструктор
ConstructorT2,Advanced Constructor,Расширенный конструктор
ContainerAmmoSmall,Small Ammo Box,Малый боекомплект
ContainerBlocks,Cargo Boxes,Ящики хранения 
ContainerHarvest,Cargo Box (Harvest),Ящик хранения (добыча ресурсов)
ContainerMS01,Cargo Box,Ящик хранения
ContainerPersonal,Personal Cargo Box,Личный ящик хранения 
ContainerRandom,Cargo Box (POI),Ящик хранения (ТИ)
ContainerUltraRare,Cargo Box (POI) - Ultra Rare,Ящик хранения (ТИ) - Очень редкий
CoreEnemy,Alien Core,Ядро инопланетян
CoreEnemyAdmin,Alien Core (Admin),Ядро инопланетян (Админ)
CoreFlyDir,Core (obsolete),Ядро (устаревшее)
CorePlayer,Core,Ядро
CorePlayerAdmin,Core (Admin),Ядро (Админ)
DockingPad,Docking Pad,Стыковочный узел
DoorArmored,Automatic Armored Door,Автоматическая прочная дверь
DoorArmoredBlocks,Armored Automatic Doors,Прочные автоматические двери
DoorBlocks,Automatic Doors,Автоматические двери
DoorBlocksSV,Manual Doors,Механические двери
DoorInterior01,Automatic Door 2,Автоматическая дверь 2
DoorInterior01SlimSV,Manual Interior Door (Slim),Внутренняя механическая дверь (тонкая)
DoorInterior01SV,Manual Interior Door,Внутренняя механическая дверь
DoorInterior02,Automatic Door 3,Автоматическая дверь 3
DoorMS01,Automatic Door 1,Автоматическая дверь 1
DoorSS01,Manual Door,Механическая дверь
DoorSS01Slim,Manual Door (Slim),Механическая дверь (тонкая)
DoorVertical,Automatic Door 1 (vert),Автоматическая дверь 1 (верт)
DoorVerticalArmored,Automatic Armored Door 1 (vert),Автоматическая прочная дверь (верт)
DoorVerticalGlass,Automatic Door 2 (vert),Автоматическая дверь 2 (верт)
DropContainer,Drop Container,Сбрасываемый контейнер
ElevatorMS,Elevator Block,Блок лифта
EntitySpawner1,NPC Spawner (Pad),Спаунер НИП (коврик)
EntitySpawnerBlock,NPC Spawner (Block),Спаунер НИП (блок)
EntitySpawnerPlate,NPC Spawner (Plate),Спаунер НИП (плита)
EntitySpawnerPlateThin,NPC Spawner (Thin Plate),Спаунер НИП (тонкая плита)
ExplosiveBlock,Explosive Block (Self),Взрывной блок (основной)
ExplosiveBlock2,Explosive Block (Radius),Взрывной блок (расширение)
Flare,Flare,Маячок
FoodProcessorMS,Food Processor (old - please replace),Кухонный комбайн (устарел - замените)
FoodProcessorV2,Food Processor,Кухонный комбайн
FridgeSV,Fridge,Холодильник
FuelTankMSLarge,Fuel Tank (T2),Топливный бак (К2)
FuelTankMSLargeT2,Fuel Tank (T3),Топливный бак (К3)
FuelTankMSSmall,Fuel Tank (T1),Топливный бак (К1)
FuelTankPOI,Fuel Tank POI,Топливный бак ТИ
FuelTankSV,Fuel Tank,Топливный бак
Furnace,Furnace,Печь
GeneratorBA,Small Generator,Малый генератор
GeneratorMS,Large Generator (T1),Большой генератор (К1)
GeneratorMST2,Large Generator (T2),Большой генератор (К2)
GeneratorSV,Generator,Генератор
GravityGeneratorMS,Gravity Generator,Генератор гравитации
HangarDoor14x7,Hangar Door (14x7),Ангарные ворота (14х7)
HangarDoor13x7,Hangar Door (13x7),Ангарные ворота (13х7)
HangarDoor10x5,Hangar Door (10x5),Ангарные ворота (10х5)
HangarDoor9x5,Hangar Door (9x5),Ангарные ворота (9х5)
HangarDoor10x9,Hangar Door (10x9),Ангарные ворота (10x9)
HangarDoor6x3,Hangar Door (6x3),Ангарные ворота (6х3)
HangarDoor5x3,Hangar Door (5x3),Ангарные ворота (5х3)
HangarDoor7x5,Hangar Door (7x5),Ангарные ворота (7x5)
HangarDoorBlocks,Hangar Doors,Ангарные ворота
HoverBooster,Hover Booster,Усилитель двигателей парения
HoverEngineLarge,Hover Engine (2x2),Двигатель парения (2х2)
HoverEngineSmall,Hover Engine (1x1),Двигатель парения (1х1)
HydrogenBottle,Hydrogen Bottle,Баллон с водородом
LandinggearBlocksCV,Landing Gears,Посадочные опоры
