KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
tasktitleEliaStartII1,Get level 7 and use the Techtree (F3),,,,,,,,Получите уровень 7 и используйте Технологии (F3),,,,,,,,
acttitleEliaStartII1,Research SV Thruster S,,,,,,,,Исследуйте МС Двигатель М,,,,,,,,
actdescEliaStartII1,"\nTo be able to build, craft or spawn your first SV you need to get level 7 first. Gather resources and hunt everything for getting XP. Then open your Techtree (F3) and research the RCS and Thruster S for the Small Vessel",,,,,,,,"Чтобы иметь возможность строить, создавать или призвать свое первое МС, вам нужно сначала получить 7 уровень. Собирайте ресурсы и охотьтесь за всем, чтобы получить ХР. Затем откройте Технологии (F3) и исследуйте РСУ и Двигатель М для малого судна.",,,,,,,,
tasktitlePlaceVesselStart,Place the Small Vessel Starter Block,Starter Block setzen*,,,,,,,Разместите Основу МС,,,,,,,,
acttitlePlaceAStarterBlock1,Place the Small Vessel Starter Block,Starter Block setzen*,,,,,,,Разместите Основу МС,,,,,,,,
actdescPlaceAStarterBlock1,"For building any vessel, you need to craft its starter block at first. Danos helped you with that a bit and rewarded you with the starter block from the previous task.\n\nThe design is open to you, but there are some basics you need to take into account.\n\n[b]Engineering notes:[/b]\n- HV and SV starter blocks are showing blue marked blocks: The blue line marks the backside, whereas the single blue block is pointing in the flight direction! Add your cockpit facing in this direction!\n- For a Hover Vessel you need to add Hover Engines in addition. You can rise and lower the flight height of your HV with C and Space between 0 and 3 meters.\n- If your HV gets heavier, you might want to add more Hover Engines as they work as the vessels suspension (compensating uneven ground). If you do not, you might hit the ground and damage your vessel!\n- Hover Engines do NOT influence the maximum hover height of 3 meter but only the driving stability!\n- CV starter blocks come equipped with a cockpit to show you the flight direction and where UP is located! Do not mess this up while building your vessel, as those directions can not be changed afterwards!\n\n[b]Important:[/b]\n- Each vessel type demands its own blocks. Although some blocks are interchangeable, this does not mean you can use normal thrusters of a CV on a SV!\n- Each device will show you its compatibility to any of the vessel types in the mouse-over info panel on the right side of your screen (Hover over the item in either the techtree, your inventory or any constructor)\n- You can not place a HV starter block in space, but you can build all vessels on any planet!\n- If you are missing a device from your constructor, have a look at the techtree if the device is already unlocked!\n- You can NOT use Wood or Concrete to build any vessel!","Um die Konstruktion eines Vehikels zu beginnen, musst du zunächst den jeweiligen Starter-Block bauen. Öffne deinen Konstruktor und wähle im Reiter BAUBLÖCKE den Starter-Block für dasjenige Vehikel aus, welches du bauen möchtest. Lege den fertigen Starter-Block in einen freien  Platz in deiner Toolbar, wähle ihn aus und legen ihn vor dir auf den Boden.\n\nDas weitere Design liegt ab hier völlig in deinen Händen. In dieser Übungseinheit besprechen wir daher nur die Grundlagen.\n\n[b]Konstruktionshinweise:[/b]\n- Die Starter-Blöcke für BG und KR verfügen über markierte Elemente: Die blaue Block-Linie markiert die Rückseite. Der blaue einzelne Block markiert die Flugrichtung. Setze dein Cockpit IMMER in Flugrichtung!\n- Für einen Bodengleiter benötigst du mehrere Schwebesysteme! Du kannst die Flughöhe mit den Tasten C  und LEERTASTE zwischen 0 und maximal 3 Meter ändern.\n- Wenn dein BG etwas schwerer ausfällt, solltest du weitere Schwebesysteme hinzufügen. Diese funktionieren als Federung und gleichen Unebenheiten im Boden während des Fluges aus. Mit zuwenig Federung kann es passieren, dass du über den Boden schrammst und dein Vehikel beschädigst!\n- Die Anzahl der Schwebesysteme beeinflusst NICHT die maximale Flughöhe von 3 Metern sondern nur die Lagestabilität!\n- Die Starter-Blöcke für GR verfügen über ein vorinstalliertes Cockpit. Dies zeigt dir gleichzeitig an, wo OBEN und wo VORNE ist. Diese Orientierung solltest du immer beibehalten, da dies nachträglich nicht mehr geändert werden kann!\n\n[b]Wichtig:[/b]\n- Jeder Vehikel-Typ benötigt eigene Blöcke. Manche Geräte und Konstruktionsblöcke können zwar für mehrere Vehikelklassen benutzt werden, aber du  kannst z.B. nicht den großen Antrieb für ein GR auf einem BG verwenden.\n- Das Info-Detail Fenster, welches sich öffnet, wenn du mit dem Mauszeiger über einen Block oder ein Gerät fährst, zeigt dir genau an, für welche Vehikel-Klassen der Gegenstand verwendbar ist.\n- Du kannst ein BG nicht im Weltraum bauen. Du kannst aber alle Vehikel auf allen Planeten bauen.\n- Wenn dir ein Gegenstand oder ein Gerät im Konstruktor fehlt, schaue im Technikbaum (F3), nach ob es auch freigeschalten ist!\n- Holz und Beton Konstruktionsblöcke können nicht für Vehikel benutzt werden.",,,,,,,"Для постройки любого судна вам нужно сначала создать его стартовый блок. Данос немного помог вам в этом и вознаградил вас стартовым блоком из предыдущего задания.\n\nДизайн открыт для вас, но есть некоторые основы, которые вы должны принять во внимание.\n\n[b]Инженерные заметки:[/b] \n- На стартовых блоках БС и МС отображаются отмеченные синим цветом блоки: синей линией отмечена задняя сторона, тогда как один синий блок указывает в направлении полета! Добавьте вашу кабину в этом направлении!\n- Для ПС вам необходимо добавить Двигатель парения. Вы можете подниматься и опускаться по высоте полета вашего ПС с помощью [ff8000]C[-] и [ff8000]Space[-] от 0 до 3 метров.\n- Если ваше ПС становится тяжелее, вы можете добавить больше двигателей парения, так как они работают как подвеска судов (компенсируя неровности грунта). Если вы этого не сделаете, вы можете упасть на землю и повредить ваше судно!\n- Парящие двигатели НЕ влияют на максимальную высоту висения в 3 метра, а только на устойчивость вождения!\n- Стартовые блоки БС оснащены кабиной, чтобы показать направление полета и расположение ВЕРХА! Не путайте это при строительстве вашего судна, так как эти направления не могут быть изменены впоследствии!\n\n[b]Важно:[/b] \n- Каждый тип судна требует своих блоков. Хотя некоторые блоки взаимозаменяемы, это не означает, что вы можете использовать обычные двигатели БС на МС!\n- Каждое устройство покажет вам свою совместимость с любым типом судна на информационной панели при наведении курсора в правой части экрана (наведите указатель мыши на элемент в техническом дереве, вашем инвентаре или любом конструкторе).\n- Вы не можете разместить стартовый блок ПС в космосе, но вы можете построить все суда на любой планете!\n- Если вам не хватает устройства в вашем конструкторе, посмотрите в Технологии, если устройство уже разблокировано!\n- Вы не можете использовать дерево или бетон, чтобы построить любое судно!",,,,,,,,
tasktitleEssentialVBlocks,Add Essential Vessel Blocks,Wichtige Blöcke für Vehikel,,,,,,,Добавьте основные блоки судна,,,,,,,,
acttitleAddVCockpit,Add a Cockpit,Cockpit setzen,,,,,,,Добавить кабину,,,,,,,,
actdescAddVCockpit,Each vessel needs to have at least one cockpit. You can add more cockpits to any vessel. The one piloting the vessel will be decided by the first player entering any cockpit!,"Jedes Vehikel benötigt mindestens ein Cockpit. Du kannst natürlich mehrere Cockpits einbauen. Je nachdem welches Cockpit du (oder ein Mitspieler) als erstes betrittst, übernimmt dieses die Steuerung.",,,,,,,"Каждое судно должно иметь хотя бы одну кабину. Вы можете добавить больше кабин к любому судну. Тот, кто пилотирует судно, будет выбран из первого игрока, который войдет в любую кабину!",,,,,,,,
acttitleAddVRCS,Add a RCS,RCS einbauen,,,,,,,Добавить РСУ,,,,,,,,
actdescAddVRCS,"A RCS will add a certain amount of torque to your vessel, what means it will allow your vessel to roll or go in any other direction for any combination of up/down/left/right/forward/backward. Without a RCS, you are limited to the aforementioned orthogonal movement vectors.","Ein RCS fügt deinem Vehikel eine gewisse Menge an Drehmoment hinzu. Das bedeutet, ein RCS erlaubt dir z.B. eine Rolle oder eine andere kombinierte Richtungsbewegungen durchzuführen. Ohne RCS kannst du nur die sechs orthogonalen Richtungen für die Bewegung nutzen: auf, ab, rechts, links, forwärts, rückwärts. Mit RCS sind alle Kombinationen möglilch.",,,,,,,"РСУ добавит определенное количество крутящего момента вашему судну, что означает, что оно позволит вашему судну вращаться или двигаться в любом другом направлении для любой комбинации вверх / вниз / влево / вправо / вперед / назад. Без РСУ вы ограничены вышеупомянутыми векторами ортогонального движения.",,,,,,,,
acttitleAddVGenerator,Add a Generator,Generator einbauen,,,,,,,Добавить генератор,,,,,,,,
actdescAddVGenerator,"Like with your base, your vessel needs to be powered. Add a generator in a well protected spot.","Wie auch bei einer Basis, benötigt jedes Vehikel einen Generator. Setze deinen Stromerzeuger in einen geschützten Bereich!",,,,,,,"Как и в случае с вашей базой, ваше судно должно быть снабжено энергией. Добавьте генератор в хорошо защищенное место.",,,,,,,,
acttitleAddVFuelTank,Add a Fuel Tank,Kraftstofftank einbauen,,,,,,,Добавить топливный бак,,,,,,,,
actdescAddVFuelTank,"Add one or more fuel tanks and fill them with fuel packs. You can activate or deactivate your vessel with Y while standing on it or when sitting in the cockpit!\n\n[b]Engineering notes[/b]\n- Adding more RCS to a vessel will add more torque to your vessel. Heavy vessels will need more or stronger RCS, but a huge CV will never turn on a dime.\n- Adding RCS has a limit to a point, where adding more RCS will add fewer and fewer bits of additional torque.\n- It does not matter WHERE in your ship the RCS is placed!\n- More Fuel Tanks will provide you with an expanded maximal flight time.\n- More generators will increase the power output and output reserves, but also burn your fuel faster.\n- When you notice your power output is running in 'red mode' when doing maneuvers having a lot of energy consumers active, you need to add more generators.","Ebenfalls wie bei einer Basis, benötigst du mindestens einen Kraftstofftank. Fülle ihn mit Kraftstoffzellen. Aktivieren kannst du dein Vehikel ebenfalls mit Y, egal ob du auf ihm stehst oder im Cockpit sitzt.\n\n[b]Konstruktionshinweise:[/b]\n- Mehr RCS fügen deinem Vehikel mehr Drehmoment hinzu. Schwerere Vehikel benötigen entsprechend mehr oder stärkere RCS für die gleiche Beweglichkeit. Trotzdem wird ein riesiges GR niemals auf der Stelle wenden können.\n- Die Effizienz der RCS nimmt mit steigender Anzahl ab. Ab einem gewissen Punkt wird der Beitrag zum Drehmoment pro neuem RCS fast vollständig aufgezehrt.\n- Es ist egal, WO im Vehikel der RCS steht.\n- Zusätzliche Kraftstofftanks steigern deine Reichweite und Flugzeit.\n- Zusätzliche Generatoren erhöhen die verfügbare Spitzenleistung deines Vehikels. Allerdings verbrauchen sie auch die Kraftstoffzellen schneller.\n- Wenn du bei Manövern bemerkst, dass deine Leistungsanzeige immer wieder ROT wird, benötigst du mehr Generatoren.",,,,,,,"Добавьте один или несколько топливных баков и заполните их топливом. Вы можете активировать или деактивировать ваше судно клавишей [ff8000]Y[-], стоя на нем или сидя в кабине!\n\n[b]Инженерные заметки:[/b] \n- Добавление большего РСУ к судну увеличит крутящий момент вашего судна. Тяжелым судам потребуется больше или большее РСУ, но БС никогда не повернется маломощным РСУ.\n- Добавление РСУ имеет ограничение до точки, где добавление большего количества РСУ добавит все меньше и меньше битов дополнительного крутящего момента.\n- Неважно, ГДЕ на вашем корабле находится РСУ!\n- Больше топливных баков предоставит вам расширенное максимальное время полета.\n- Большее количество генераторов увеличит выходную мощность и резервы выходной мощности, а также сожгут ваше топливо быстрее. Когда вы замечаете, что ваша выходная мощность работает в [ff0000]красном режиме[-] при выполнении маневров с активным потребителем большого количества энергии, вам необходимо добавить больше генераторов.",,,,,,,,
tasktitleThrusters,Add Thrusters,Den Antrieb bauen,,,,,,,Добавить двигатели,,,,,,,,
acttitleAddVThrusters,Add Thrusters,Triebwerk einbauen,,,,,,,Добавить двигатели,,,,,,,,
actdescAddVThrusters,"For a Hover Vessel, you only need one thruster facing forward, left, right and back. For a Small Vessel or a Capital Vessel you need a thruster facing up and one facing down in addition!\n\n[b]Important:[/b]\n- Do not mix up thrusters of different kinds on either side. Always have the same amount and type of thrusters competing with each other on each opposing side: Up vs. Down, Left vs. Right and Forward vs. Reverse. If you do not apply to this rule, your vessel may show unstable movement.\n- Adding more Thrusters will not make your vessel faster, but accelerate faster!\n- If you are parking your Small Vessel or Hover Vessel on a hillside or sloped terrain, switch off your thruster group to avoid your vessel sliding away!\n\n [b]Keep up speed without pressing W:[/b] If you want to avoid holding W all the time while flying towards a destination, open the Control Panel (P) and switch off the forward facing thrusters. Now, when hitting W, your vessel won't be slowed down any more. You need to reactivate your Brake Thruster Group if you want to slow down, of course!","Für einen Bodengleiter benötigst du nur jeweils ein Triebwerk für die Richtungen vorwärts, rückwärts, rechts und links. Für ein Kleines Raumschiff und ein Großes Raumschiff benötigst du zwei zusätzliche Triebwerke für die Richtungen auf und ab.\n\n[b]Wichtig[/b]\n- Mische niemals verschiedene Triebwerkstypen an verschiedene Seiten. Baue immer gleiche Typen and gegenüberliegenden Seiten: rechts vs. links, auf vs. ab und voraus vs. zurück. Wenn du diese Regel nicht beherzigst, kann dein Vehikel instabil werden.\n- Zusätzliche Triebwerke machen dein Vehikel nicht schneller. Es beschleunigt nur schneller bis zur Maximalgeschwindigkeit.\n- Wenn du dein Kleines Raumschiff oder deinen Bodengleiter am Hang parken willst, schalte das Vehikel mit Y ab, sonst kann es passieren, dass es weg rutscht.\n\n[b]Du willst immer geradeaus fliegen, ohne W die ganze Zeit gedrückt halten zu müssen? Wenn du einfach nur geradeaus fliegen willst, schalte  alle Triebwerke der Forward-Gruppe ab und beschleunige mit W auf die Maximalgeschwindigkeit. Wenn du bremsen willst, musst du deine Gruppe mit den Bremstriebwerken natürlich wieder einschalten.",,,,,,,"Для ПС вам понадобится только по одному подруливающему устройству, обращенному вперед, влево, вправо и назад. Для МС или БС вам понадобится двигатель, обращенный вверх, и один, обращенный вниз!\n\n[b]Важно:[/b] \n- Не смешивайте двигатели разных типов с разных сторон. Всегда имейте одинаковое количество и тип двигателей, на каждой противоположной стороне: вверх / вниз, влево / вправо и вперед / реверс. Если вы не применяете это правило, ваше судно может показывать нестабильное движение.\n- Добавление большего количества двигателей не сделает ваше судно быстрее, но ускорит набор скорости!\n- Если вы припарковываете свое МС или ПС на склоне или горе, отключите свою подруливающую группу, чтобы избежать соскальзывания судна!\n\n [b]Сохраняйте скорость, не нажимая W: [/b]Если вы хотите, чтобы во время полета в направлении пункта назначения не удерживался W, откройте панель управления (P) и выключите двигатели, обращенные вперед. Теперь, когда вы нажмете W, ваше судно больше не будет замедляться. Вы должны активировать свою группу Тормозных двигателей, если вы хотите, конечно, замедлить!",,,,,,,,
tasktitleAddVOxSupply,Oxygen Supply,Lebenserhaltung,,,,,,,Поставка кислорода,,,,,,,,
acttitleAddVOxTank,Add an O2 Tank,O2 Tank einbauen,,,,,,,Добавить бак O2,,,,,,,,
actdescAddVOxTank,"All cockpits are airtight! So even if you fly around in an oxygen rich environment, you'll use up your suit O2 while sitting in a cockpit. This also applies to Capital Vessel cockpits!.\n\nAdd an O2 tank to your vessel and put some O2 bottles inside. You'll then first use up those, before your suit Oxygen is used.\n\n[u]Tips:[/u]\n- Open the console (P) to check how much Oxygen is left\n- You do not need to add an O2 station to your vessel for this to work. O2 stations are only required to refill your suit's O2 manually.","Alle Cockpits sind luftdicht versiegelt! Auch wenn du in einer sauerstoffreichen Umgebung herumfliegst, wird dein Anzugsauerstoff verbraucht, solange du im Cockpit sitzt. Das gilt auch für die Cockpits für Große Raumschiffe.\n\nUm das zu vermeiden, baue einen O2 Tank ein und fülle ihn mit O2 Flaschen. Damit wird dann immer zuerst der Sauerstoff aus dem O2 Tank benutzt, bevor dein Anzugsauerstoff angezapft wird.\n\n[u]Tipps:[/u]\n- Öffne die Steuerkonsole um herauszufinden, wie viel O2 dir verbleibt.\n- Für die automatische O2 Versorgung im Cockpit brauchst du keine O2 Station im Schiff. Diese dient  nur dazu, damit du manuell deinen Anzugsauerstoff wieder auftanken kannst.",,,,,,,"Все кабины герметичны! Таким образом, даже если вы летите в атмосфере, богатой кислородом, вы будете использовать свой костюм O2, сидя в кабине. Это также относится к кабинам БС!\n\nДобавьте бак с кислородом в ваше судно и заправьте его. Вы сначала израсходуете его, прежде чем ваш костюм будет использовать кислород.\n\n[u][b]Подсказки:[/b][/u] \n- Откройте консоль (P), чтобы проверить, сколько кислорода осталось\n- Вам не нужно добавлять станцию O2 на ваше судно, чтобы это работало. О2 станции требуются только для пополнения O2 вашего костюма вручную.",,,,,,,,
tasktitleWeapons,Weapons,Bewaffnung,,,,,,,Оружие,,,,,,,,
acttitleAddVWeapons,Add a SV Weapon,Waffen einbauen*,,,,,,,Добавьте оружие на МС,,,,,,,,
actdescAddVWeapon,"Like with any base, you can add weapons and turrets to your vessel. Mounted guns are available for all vessels. Turrets are only available for Hover Vessels and Capital Vessels.","Wie auch bei einer Basis, kannst du bei Vehikeln Waffen einbauen. Feste Geschütze sind für alle Vehikel verfügbar.  Türme sind nur für Bodengleiter und Große Raumschiffe verfügbar.",,,,,,,"Как и с любой базой, вы можете добавить оружие и башни на свое судно. Установленные орудия доступны для всех судов. Башни доступны только для ПС и БС.",,,,,,,,
acttitleAddVAmmoB,Add an Ammo Box,Munitionskiste einbauen,,,,,,,Добавьте Ящик амуниции,,,,,,,,
actdescAddVAmmoB,"You need to add an ammo box anywhere on your vessel and fill it with the correct ammo type, so your mounted weapons and turrets can be reloaded!\n\n[b]Engineering notes:[/b]\n- Turrets will reload and fire automatically. You can of course enter a turret and use it manually as well.\n- Mounted guns can be managed manually, but will reload automatically if you keep the fire button pressed!\n- If you aim at a target, your fixed guns will converge automatically!\n- Homing missiles only lock on their target if you were pointing at this target when firing!","Um deine Waffen zu versorgen, musst du eine Munitionskiste irgendwo in deinem Vehikel einbauen und sie mit der Munition füllen, die deine Geschütze benötigen. Sie laden sich dann automatisch nach.\n\n[b]Konstruktionshinweise:[/b]\n- Türme schießen automatisch und laden automatisch nach. Du kannst aber auch in einen Turm einsteigen und ihn selbst bedienen.\n- Feste Geschütze werden manuell abgefeuert und geladen, allerdings laden sie auch automatisch nach, wenn du die Feuertaste gedrückt hältst.\n- Wenn du das Fadenkreuz auf ein Ziel gerichtet hast, richten sich die festen Geschütze automatisch auf diesen Feuerpunkt ein.\n- Die zielsuchenden Raketen schalten ebenfalls nur auf, wenn du das Fadenkreuz beim Abfeuern auf ein Ziel gerichtet hattest!",,,,,,,"Вам нужно добавить ящик амуниции в любое место на вашем судне и заполнить его правильным типом боеприпасов, чтобы ваши орудия и башни могли перезаряжаться!\n\n[b]Инженерные заметки:[/b] \n- Турели будут перезаряжаться и стрелять автоматически. Вы можете, конечно, войти в башню и использовать ее также вручную.\n- Смонтированным оружием можно управлять вручную, но оно будет автоматически перезаряжаться, если вы удерживаете кнопку огня нажатой!\n- Если вы нацелитесь на цель, ваши фиксированные пушки будут сходиться автоматически!\n- Самонаводящиеся ракеты летят только в свою цель, если вы указывали на эту цель при стрельбе!",,,,,,,,
tasktitleDockingPads,Docking Pads and Landing Gears,Andockplatte und Fahrwerk,,,,,,,Стыковочные площадки и шасси,,,,,,,,
acttitleAddVDockingPads,Add Docking Pads or Landing Gears,Landehilfe einbauen,,,,,,,Добавьте стыковочные площадки или шасси,,,,,,,,
actdescAddVDockingPads,"Docking Pads as well as Landing Gears will not only allow you to dock your HV and SV to a CV, but also allow your vessel to land on uneven terrain or absorb damage of a hard landing on solid terrain. If yo do NOT use those devices, you'll easily damage and break your vessel.\n\n[b]How to use docking pads and landing gears:[/b]\n- If you built a CV and want to take your SV and HV with you, your SV and HV will need to have any type of Docking Pad or Landing Gear added underneath the vessel.\n- Docking works just by landing on a flat space on your CV. There is no docking button. Keep an eye on the right info panel. The docking status will tell you if your vessel is docked or not!\n- If you want to take off, just hit SPACE (default) and un-docking is happening automatically as well.\n- Docking is only possible for SV and HV. The CV landing gears do not 'dock' to a Base.\n- SV and HV can not be docked to each other.\n\n[b]Important:[/b]\n- Your CV and the to-be-docked vessel need to be in the same faction. If you did not change anything (like in any Single Player Game), every newly created vessel is set to PRIVATE automatically. If you play in Multiplayer and join a Faction, you can only dock a Faction-Vessel to its Faction-CV!\n- Exception: A CV that is set to PUBLIC can be used as a docking platform for vessels with any faction status!","Andockplatten und Fahrwerke erlauben es dir nicht nur, deinen Bodengleiter oder dein Kleines Raumschiff in einem Großen Raumschiff anzudocken. Sie absorbieren auch Schaden bei einer harten Landung auf festem Untergrund. Wenn du keine benutzt, kannst du dein Vehikel mit einer unsanften Landung schwer beschädigen!\n\n[b]So benutzt du Andockplatten und Fahrwerke:[/b]\n- Um ein BG oder KR in einem GR zu docken, benötig dein GB oder KR eines der beiden Geräte an der Unterseite\n- Das Docken selbst funktioniert ganz einfach: Drücke C und lande auf einer ebenen Fläche in oder auf dem Großen Raumschiff. Wirf einen Blick auf das Info-Fenster rechts am Bildschirmrand. Es zeigt dir, ob du angedockt bist oder nicht. Es gibt keine Docking-Taste!\n- Das Abheben vom Landedeck passiert auf gleiche Weise. Drücke dazu einfach die LEERTASTE.\n- Es können nur BG und KR an ein GR gedockt werden. Docken von BG an BG, BG and KR oder KR an KR ist nicht möglich.\n- Das Große Raumschiff und die anzudockenden Vehikel müssen in der gleichen Fraktion sein! Spielst du im Survival-Singleplayer, sind alle deine Schiffe immer in der gleichen Fraktion (sofern du daran nichts änderst).\n- Einzige Ausname für Multiplayer sowie Singleplayer: auf einem Großen Raumschiff, welches auf ÖFFENTLICH gestellt ist, können alle Bodengleiter und Kleinen Raumschiffe andocken, egal welcher Fraktion sie angehören!",,,,,,,"Стыковочные площадки, а также шасси не только позволят вам закрепить ваше ПС и МС на БС, но и позволят вашему судну приземлиться на неровной поверхности или поглотить повреждения при жесткой посадке на твердой поверхности. Если вы НЕ используете эти устройства, вы легко повредите и сломаете свое судно.\n\n[b]Как использовать стыковочные площадки и шасси:[/b] \n- Если вы создали БС и хотите взять с собой МС и ПС, то под МС и под вашим судном должны быть установлены док-станции или шасси любого типа.\n- Стыковка работает, просто приземляясь на ровное место на вашем БС. Там нет кнопки стыковки. Следите за правой информационной панелью. Статус стыковки покажет вам, находится ли ваше судно в доке или нет!\n- Если вы хотите снять, просто нажмите [ff8000]ПРОБЕЛ[-] (по умолчанию), и отстыковка происходит автоматически.\n- Стыковка возможна только для МС и ПС. Шасси БС [u][i]не пристыковываются[/i][/u] к базе.\n- МС и ПС не могут быть пристыкованы друг к другу.\n\n[b]Важно:[/b] \n- Ваше БС и судно, подлежащее стыкованию, должны быть в одной фракции. Если вы ничего не меняли (как в любой одиночной игре), для каждого вновь созданного судна автоматически устанавливается ЧАСТНАЯ СОБСТВЕННОСТЬ. Если вы играете в мультиплеере и присоединяетесь к фракции, вы можете прикрепить только фракционное судно к его фракции-БС!\n- Исключение: БС, установленное на ПУБЛИЧНО, может использоваться в качестве платформы для стыковки судов с любым статусом фракции!",,,,,,,,
tasktitleAdditionalBlocks,Additional Blocks,Zusätzliche Schiffseinrichtungen,,,,,,,Добавочные блоки,,,,,,,,
acttitleAdditionalVBlocks,Place Additional Blocks,Nützliche Zusatzgeräte einbauen,,,,,,,Разместите добавочные блоки,,,,,,,,
