KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
actdesc122,There should be a computer console somewhere in the promethium refinery where you can access data about arriving and departing freighters. Tracking their travel patterns should tell you where the Zirax are building their secret weapon.,,,,,,,,"Где-то на заводе прометия должна быть компьютерная консоль, где вы можете получить доступ к данным о прибывающих и отправляющихся грузовых судах. Отслеживание их шаблонов путешествий должно сказать вам, где Зиракс строит свое секретное оружие.",,,,,,,,
complete122,\n,,,,,,,,,,,,,,,,
complete1,"Next to the core, you have found a terminal which allows access to the backup servers of this refinery. \nAfter scanning them, you realize the files contain data about traffic and shipments arriving at and departing from this refinery. \nThe data you uploaded to your PDA indicates that an unusually high amount of Promethium is being shipped to the Veldis system.\n\n[c][8faed3]Chapter reward:[/c] 10000 credits money card",,,,,,,,"Рядом с ядром вы обнаружили терминал, который разрешает доступ к серверам резервного копирования этого очистительного завода.\nПосле их сканирования вы обнаружите, что файлы содержат данные о трафике и доставках, прибывающих и отправляющихся с этого очистительного завода.\nДанные, которые вы загрузили на свой КПК, указывают на то, что необычно большое количество прометия отправляется в систему Veldis.\n\nГлава вознаграждения: 10000 кредитов, кредитная карта",,,,,,,,
chaptertitle2,Chapter 2 � To boldly go where others have gone before,,,,,,,,"[ffffff]Глава 2 - Смело идти туда, куда раньше ходили другие[-]",,,,,,,,
chpdesc2,"Promethium is the source of energy every base and starship vessel relies on to operate. The data you extracted from the refinery's database shows massive amounts of Promethium being shipped to Veldis, a nearby planet. This indicates a lot of energy is being used there for some massive project. This could be the construction of the secret weapon you are looking for. You still aren't sure what the new secret Zirax weapon could be, where it could be located and how it could be destroyed. Getting to Veldis is your best option at this point. Use your experience as a survivalist and build a capital vessel with a warp drive to travel to Veldis. The Union of Federated Planets operates spy satellites in the orbit of most known Planets. These satellites could deliver more vital information regarding their vicinity.  Locate such a satellite in the orbit of Veldis to see what it might have picked up.",,,,,,,,"Прометий - это источник энергии, на который опирается каждая база и каждый корабль. Данные, которые вы извлекли из базы данных завода, показывают огромное количество прометия, отправляемого на Veldis, соседнюю планету. Это указывает на то, что много энергии используется там для какого-то масштабного проекта. Это может быть конструкция секретного оружия, которое вы ищете. Вы все еще не уверены, каким может быть новое секретное оружие Зиракс, где оно может быть найдено и как оно может быть уничтожено. На данный момент вам лучше всего добраться до Veldis. Используйте свой опыт выживания и постройте большое судно с варп-драйвом, чтобы отправиться в Veldis. Союз Федеративных Планет управляет спутниками-шпионами на орбите большинства известных Планет. Эти спутники могли бы предоставить более важную информацию об их окрестностях. Найдите такой спутник на орбите Veldis, чтобы увидеть, что он мог найти.",,,,,,,,
tasktitle21,Star Traveler,,,,,,,,[ffffff]Звездный путешественник[-],,,,,,,,
acttitle211,[c][ffffff]Check your PDA,,,,,,,,[ffffff]Проверьте свой КПК[-],,,,,,,,
actdesc211,\n,,,,,,,,,,,,,,,,
complete211,\n,,,,,,,,,,,,,,,,
acttitle212,[c][ffffff]Warp to the Veldis system,,,,,,,,[ffffff]Прыжок до системы Veldis[-],,,,,,,,
actdesc212,Check your star map to find a route to the Veldis system.,,,,,,,,"Проверьте свою звездную карту, чтобы найти маршрут к системе Veldis.",,,,,,,,
complete212,\nCockpit system voice: [c][8faed3]�You have entered: Veldis orbit.�[/c],,,,,,,,[ff8000]Голос системы кабины:[-] Вы вошли на орбиту Veldis,,,,,,,,
tasktitle22,Contact the UFP,,,,,,,,[ffffff]Связаться с СФП[-],,,,,,,,
acttitle221,"[c][ffffff]Find the UFP spy satellite using coordinates somewhere close to 5200, 400, 2500",,,,,,,,"[ffffff]Найдите спутник-шпион СФП, используя координаты где-то близко к 5200, 400, 2500[-]",,,,,,,,
actdesc221,"Look for the UFP spy satellite in the orbit of Veldis. It was last seen around the coordinates 5200, 400, 2500 (right-click in an empty area on the starfield map and overwrite the provided values with your coordinates for your own custom waypoint).",,,,,,,,"Найдите спутник-шпион СФП на орбите Veldis. Последний раз его видели около координат 5200, 400, 2500 (щелкните правой кнопкой мыши в пустой области на карте звездного поля и замените предоставленные значения своими координатами для своей собственной маршрутной точки).",,,,,,,,
complete221,\nCockpit system voice: [c][8faed3]�Approaching: UFP satellite. Lifeforms present: None. Security: Not installed. System: Deactivated.�[/c],,,,,,,,[ff8000]Голос системы кабины:[-] Подход: спутник СФП.\nСуществующие формы жизни: нет.\nБезопасность: не установлено.Система: деактивирована.,,,,,,,,
acttitle223,[c][ffffff]Decrypt the database at a console,,,,,,,,[ffffff]Расшифровать базу данных на консоли[-],,,,,,,,
actdesc223,The UFP satellite is non-operational. Add fuel and power it up. Find a console inside the satellite to decrypt the database with your security codes you know as an agent of the UFP. Warning: Dismantling the base before you find your information might lead to data loss!,,,,,,,,"Спутник СФП не работает. Добавьте топливо и включите его. Найдите внутри спутника консоль для расшифровки базы данных, используя ваши коды безопасности, которые вы знаете как агент СФП. \n[ff0000]Предупреждение: демонтаж базы до того, как вы найдете информацию, может привести к потере данных![-]",,,,,,,,
complete223,\nYou active the main frame of the spy satellite with your UFP access card. A computer voice announces: [c][8faed3]�All systems online again after manual shutdown. Planet system scans encrypted. UFP security level Delta-4 required to access satellite database.�[/c],,,,,,,,Вы активируете основной каркас спутника-шпиона с картой доступа СФП. Компьютерный голос объявляет: все системы снова включаются после ручного выключения. Система сканирует планеты в зашифрованном виде. Уровень безопасности СФП Delta-4 необходим для доступа к спутниковой базе данных.,,,,,,,,
complete2,"You successfully decrypt the satellite�s database at this console.\nTo your surprise, the scans of the last two months have been completely wiped from the storage.\nIn its place, you find a personal message for you from UFP agent Andisk...(check your PDA)\n\n[c][8faed3]Chapter reward:[/c] 10000 credits money card",,,,,,,,"Вы успешно расшифровали базу данных спутника на этой консоли.\nК вашему удивлению, сканы последних двух месяцев были полностью стерты со склада.\nВместо этого вы найходите личное сообщение для вас от агента СФП Andisk ... (проверьте ваш КПК)\n\nГлава вознаграждения: 10000 кредитов, кредитная карта",,,,,,,,
chaptertitle3,Chapter 3 � The agent,,,,,,,,[ffffff]Глава 3 - Агент[-],,,,,,,,
chpdesc3,"Instead of the scans made by this satellite, you find a personal message in the database for you. UFP agent Andisk probably expected that another UFP agent would eventually find his message: �Agent, if you can read this, then the UFP considered the data of this satellite vital for your mission. They may have noticed us spying on them a while ago. And they must have been waiting for the right moment to strike. Their drones found this satellite and attacked it. They mustn't have wanted us to find a specific piece of information. I extracted the vital data before they could find me or destroy this satellite. Come find me in the Talon Elders' village on Veldis where I am hiding. I am awaiting your arrival. Agent Andisk�.\n\nMeet with Agent Andisk in this village of the native inhabitants of Veldis.",,,,,,,,"Вместо сканов, выполненных этим спутником, вы находите личное сообщение в базе данных для вас. Агент СФП Andisk, вероятно, ожидал, что другой агент СФП в конечном итоге найдет его сообщение:\n[00ffff]Агент, если вы можете прочитать это, то СФП посчитал данные этого спутника жизненно важными для вашей миссии. Возможно, они заметили, что мы шпионили за ними некоторое время назад. И они, должно быть, ждали подходящего момента, чтобы нанести удар. Их дроны нашли этот спутник и напали на него. Должно быть, они не хотели, чтобы мы нашли конкретную информацию. Я извлек жизненно важные данные, прежде чем они смогли найти меня или уничтожить этот спутник. Найди меня в деревне старейшин Талон на Veldis, где я прячусь. Я жду вашего приезда. Агент Andisk.\n[-]Встретьтесь с агентом Andisk в этой деревне у коренных жителей Veldis.",,,,,,,,
tasktitle31,Veldis,,,,,,,,[ffffff]Планета Veldis[-],,,,,,,,
acttitle311,[c][ffffff]Land on Veldis,,,,,,,,[ffffff]Приземление на Veldis[-],,,,,,,,
actdesc311,Fly to the nearby planet Veldis and initiate landing procedures.,,,,,,,,Летите на соседнюю планету Veldis и начните процедуру посадки.,,,,,,,,
complete311,\nCockpit system voice: [c][8faed3]�Planetary scan complete. Breathable atmosphere: Yes. Min/Max temperatures: No EVA suit required. Local threats: Aggressive wildlife. Zirax threat level: average. Indigenous people: Talon (technology level 1).�[/c],,,,,,,,[ff8000]Голос системы кабины:[-] \nПланетарное сканирование завершено.\nДышащая атмосфера: да.\nМин. / Макс. Температура: костюм EVA не требуется.\nМестные угрозы: агрессивная дикая природа.\nУровень угрозы Зиракс: средний.\nКоренные жители: Талон (уровень технологии 1).,,,,,,,,
acttitle312,[c][ffffff]Contact the UFP agent,,,,,,,,[ffffff]Связаться с агентом СФП[-],,,,,,,,
actdesc312,Find the Elders' Village in the northern hemisphere of Veldis. Talk to the UFP agent hiding in the big chieftain's building.,,,,,,,,"Найдите Деревню Старейшин в северном полушарии Veldis. Поговорите с агентом СФП, скрывающимся в большом здании вождя.",,,,,,,,
complete312,\nYou spot Agent Andisk in the chieftain's hut as he is talking to one of the natives.,,,,,,,,"Вы замечаете агента Andisk в хижине вождя, когда он разговаривает с одним из туземцев.",,,,,,,,
complete3,"\nYou have found Agent Andisk: [c][8faed3]�Agent, I have the scans of this system. \nJust as we suspected: the Zirax are building their secret weapon here. \nBut before we go into details I must ask you for a favor: \nThe chieftain was so nice to give me shelter. \nI�d like to return the favor and contribute to their food storage.\nCan you go hunt a few raptors for me, please?�[/c]",,,,,,,,"Вы нашли агента Andisk:\n[00ffff]Агент, у меня есть сканы этой системы.\nКак мы и подозревали: Зиракс строят здесь свое секретное оружие.\nНо прежде чем мы углубимся в детали, я должен попросить вас об одолжении:\nВождь был так рад дать мне убежище.Я хотел бы вернуть услугу и внести свой вклад в их хранение продуктов питания.\nМожете ли вы пойти охотиться за меня, пожалуйста?[-]",,,,,,,,
chaptertitle3B,A favor for another agent,,,,,,,,[ffffff]Услуга для другого агента[-],,,,,,,,
chpdesc3B,"As a covert operations specialist, you usually act alone. In the rare occasions, you meet other UFP agents, there's an instant sense of comradery between you. That's why you immediately agreed to Agent Andisk's request to go big game hunting. This should be pretty easy with your equipment.",,,,,,,,"Как специалист по тайным операциям, вы обычно действуете в одиночку. В редких случаях вы встречаетесь с другими агентами СФП, между вами сразу возникает чувство товарищества. Вот почему вы сразу согласились с просьбой агента Андиска отправиться на охоту за крупной дичью. Это должно быть довольно легко с вашим оборудованием.",,,,,,,,
tasktitle3B2,A small tribute,,,,,,,,[ffffff]Небольшая дань[-],,,,,,,,
acttitle3B21,[c][ffffff]Hunting season,,,,,,,,[ffffff]Сезон охоты[-],,,,,,,,
actdesc3B21,Look around Veldis and shoot 10 raptors. The Talons will pick up the meat they need. (known issue: in case the game doesn't spawn any raptors you can auto-complete this quest in the PDA),,,,,,,,"Оглядитесь вокруг и подстрелите 10 рапторов. Талон собирают мясо, которое им нужно.\n[ff0000](известная проблема: в случае, если игра не порождает рапторов, вы можете автоматически выполнить этот квест на КПК)[-]",,,,,,,,
complete3B21,\nThis should be enough raptors - plenty of meat to be picked up by the Talon.,,,,,,,,"Этого должно быть достаточно, рапторы - это много мяса, которое можно собрать для Талон.",,,,,,,,
acttitle3B31,[c][ffffff]Return to Agent Andisk,,,,,,,,[ffffff]Вернуться к агенту Andisk[-],,,,,,,,
actdesc3B31,Return to UFP agent Andisk in the Elder�s village on Veldis.,,,,,,,,Вернитесь к агенту СФП Andisk в деревню Старейшин на Veldis.,,,,,,,,
complete3B31,\n,,,,,,,,,,,,,,,,
complete3B,"Agent Andisk is happy to see Talon collectors carrying raptor meat to their storage huts. \nHe takes you to the side and talks quietly with you: \n[8faed3]�Thank you, for your assistance. I owed something to these people here. \nNow about those scans: Our satellite found a new Zirax space station being constructed in the orbit of this planet. \nBut don�t hurry there yet. I uploaded more information for your mission to your PDA.�[c]\n\n[c][8faed3]Chapter reward:[/c] 10x Meat",,,,,,,,"Агент Andisk рад видеть, как собиратели Талон несут мясо хищника в свои хижины.\nОн отвлекает вас в сторону и тихо разговаривает с вами:\n[00ffff]Спасибо за вашу помощь. Я был должен кое-что этим людям здесь.\nТеперь о тех сканированиях: наш спутник обнаружил новую космическую станцию Зиракс, строящуюся на орбите этой планеты.Но пока не торопитесь. Я загрузил больше информации для вашей миссии на ваш КПК.[-]\nНаграда главы: 10x Мясо",,,,,,,,
chaptertitle4,Chapter 4 � The Access Code,,,,,,,,[ffffff]Глава 4 - Код доступа[-],,,,,,,,
chpdesc4,"Thanks to the planet system scans you are able to investigate the data the satellite has picked up. The Zirax have started the construction of a cannon so large that a whole base has been built around it. This must be the weapon you are looking for. Recent recordings of test runs indicate that this stationary weapon is able to blast asteroids into a million pieces with a single shot. Instead of vaporizing the debris of the asteroid, every tiny bit accelerates into the orbit of the planet at a high speed, where it circulates for many months and possibly years due to the gravitational attraction. This would have major impacts on any ship traveling through such an affected system. Ship hulls could be severely damaged by just passing through. Due to the tiny size of the debris, no counter measurement would be able to stop it. It might be the worst weapon the Zirax have ever created. You must destroy the construction of this Asteroid Buster cannon before the Zirax can put it into action.\n\nFind the security code to be able to access the well-guarded parts of this new Zirax base which holds the Asteroid Buster. Agent Andisk tracked down the location of a high ranking officer who oversees the construction of this weapon. He is currently visiting a Zirax Tactical Outpost deep in Zirax territory. You will not be able to bring your own ship though. Agent Andisk has instead bribed the freighter captain of ""The Wolf Fang"" on Veldis to get you there in secret. Another smuggler ship might be able to bring you back after you have found the access code to the Asteroid Buster base.",,,,,,,,"Благодаря сканированию системы планеты вы можете исследовать данные, полученные спутником. Зиракс начали строительство такой большой пушки, что вокруг нее была построена целая база. Это должно быть оружие, которое вы ищете. Недавние записи испытаний показывают, что это стационарное оружие способно разбить астероиды на миллион кусков за один выстрел. Вместо того, чтобы испарять обломки астероида, каждый маленький кусочек ускоряется на орбиту планеты с высокой скоростью, где он циркулирует в течение многих месяцев и, возможно, лет из-за гравитационного притяжения. Это будет иметь серьезные последствия для любого судна, проходящего через такую ​​систему. Корпуса кораблей могут быть серьезно повреждены, просто проходя мимо. Из-за крошечного размера мусора, ни один детектор не сможет обнаружить их. Это может быть худшее оружие, которое когда-либо создавал Зиракс. Вы должны разрушить конструкцию этой пушки Asteroid Buster, прежде чем Зиракс сможет привести ее в действие.\n\nНайдите код безопасности, чтобы получить доступ к хорошо охраняемым частям этой новой базы Зиракс, в которой находится Asteroid Buster. Агент Andisk выследил местонахождение высокопоставленного офицера, который следит за созданием этого оружия. В настоящее время он посещает тактический форпост Зиракс в глубине территории Зиракс. Вы не сможете использовать свой собственный корабль. Агент Andisk вместо этого подкупил капитана фрахтовщика [b]Волчий клык[/b] на Veldis, чтобы тайно доставить вас туда. Другой корабль-контрабандист может вернуть вас после того, как вы найдете код доступа к базе Asteroid Buster.",,,,,,,,
tasktitle41,The Wolf Fang,,,,,,,,[ffffff]Волчий Клык[-],,,,,,,,
acttitle410,[c][ffffff]Check your PDA,,,,,,,,[ffffff]Проверьте свой КПК[-],,,,,,,,
actdesc410,\n,,,,,,,,,,,,,,,,
complete410,\n,,,,,,,,,,,,,,,,
acttitle411,[c][ffffff]Travel to freighter landing pad,,,,,,,,[ffffff]Путешествие на посадочную площадку грузового корабля[-],,,,,,,,
actdesc411,"Agent Andisk has bribed the local freighter captain Amsung to take you to another hidden facility, where you can trace down a high ranking Zirax officer. Board the �Wolf Fang� on the freighter landing pad on Veldis.",,,,,,,,"Агент Andisk подкупил местного капитана фрахтовщика Amsung , чтобы отвезти вас в другое скрытое учреждение, где вы сможете разыскать высокопоставленного офицера Зиракса. Садитесь на Волчий Клык на посадочной площадке грузовых кораблей на Veldis.",,,,,,,,
complete411,\nThis must be it. The freighter has not arrived yet though. Agent Andisk has told you to access their signal device. The comm center opens using the code 4049.,,,,,,,,"Это должно было случиться. Фрахтовщик еще не прибыл. Агент Andisk сказал вам, как получить доступ к их сигнальному устройству. Комм-центр открывается с помощью кода 4049.",,,,,,,,
acttitle412,[c][ffffff]Signal the freighter (door code 4049),,,,,,,,[ffffff]Сигнал фрахтовщика (код двери 4049)[-],,,,,,,,
actdesc412,"Activate the communication system (teleporter) on the freighter landing pad to board the ship. Use the code �4049� to enter the comm center so you can signal Captain Amsung, that you�re ready to board his freighter.",,,,,,,,"Активируйте систему связи (телепорт) на посадочной площадке фрахтовщика, чтобы сесть на корабль. Используйте код 4049, чтобы войти в коммуникационный центр, чтобы сообщить капитану Amsung, что вы готовы сесть на его фрахтовщик.",,,,,,,,
complete412,"\n""The Wolf Fang"" freighter has picked you up as promised. You spend a few days onboard until the freighter arrives at its destination: The Zirax Tactical Outpost in an uncharted asteroid field. Captain Amsung tells you that his part of the bargain is done. However, you may use his MedBay in case you need medical treatment. Other than that you're on your own now.",,,,,,,,"Грузовое судно [b]Волчий клык[/b] подобрало вас, как и обещали. Вы проводите несколько дней на борту, пока грузовое судно не прибудет в пункт назначения: тактический аванпост Зиракс в неизведанном астероидном поле. Капитан Amsung говорит вам, что его часть сделки выполнена. Тем не менее, вы можете использовать его Мед отсек, если вам требуется медицинское лечение. Кроме того, теперь вы сами по себе.",,,,,,,,
acttitle413,[c][ffffff]Enter Tactical Outpost Iota,,,,,,,,[ffffff]Войдите в Тактический форпост Йота[-],,,,,,,,
actdesc413,"Although the Zirax aren't aware that Captain Amsung has brought you to their base secretly, the time for stealth is now over. Expect heavy resistance from the Zirax guards.",,,,,,,,"Хотя Зиракс не знают, что капитан Amsung тайно привез вас на свою базу, время для скрытности прошло. Ожидайте сильное сопротивление от охранников Зиракс.",,,,,,,,
complete413,\nAn intruder alarm is ringing as you enter deeper into the base. They know that you're here!,,,,,,,,"Охранная сигнализация срабатывает, как только вы входите глубже в базу. Они знают, что ты здесь!",,,,,,,,
acttitle414,[c][ffffff]Kill the Zirax officer to get his access code,,,,,,,,"[ffffff]Убейте офицера Зиракс, чтобы получить его код доступа[-]",,,,,,,,
actdesc414,"Find the Zirax officer armed with a laser gun, who has access codes for the Asteroid Buster base.",,,,,,,,"Найдите офицера Зиракс, вооруженного лазерным оружием, у которого есть коды доступа к базе Asteroid Buster.",,,,,,,,
complete414,"You find the access code ""1112"" in the keycard of the dead officer. Strangely your radiation sensors also register weak ""Sathoidwaves"" when you lean over the dead body. It seems he was exposed to a radioactive Sathium source recently.",,,,,,,,"Вы найдете код доступа [b]1112[/b] в карточке-ключе погибшего офицера. Странно, но ваши радиационные датчики также регистрируют слабые [u][i]сатиевые волны[/i][/u], когда вы наклоняетесь над мертвым телом. Похоже, он недавно подвергся воздействию радиоактивного источника сатия.",,,,,,,,
tasktitle42,Escape from the asteroid field,,,,,,,,[ffffff]Побег из астероидного поля[-],,,,,,,,
acttitle422,[c][ffffff]Meet with the smugglers,,,,,,,,[ffffff]Встреча с контрабандистами[-],,,,,,,,
actdesc422,Rendezvous with the smuggler�s capital vessel waiting at the trade station in the asteroid field.,,,,,,,,"Рандеву с капитаном контрабандистов, ожидающих на торговой станции в астероидном поле.",,,,,,,,
complete422,"\nYou have found the smugglers, who are in league with the UFP. They offer you a trip back to the Veldis system for free. But they tell you that they are not willing to bring your new vessel along. You may have to disassemble the ship parts you want to reuse later.",,,,,,,,"Вы нашли контрабандистов, которые находятся в союзе с СФП. Вам предлагают поездку обратно в систему Veldis бесплатно. Но они говорят вам, что не хотят брать с собой ваше новое судно. Возможно, вам придется разобрать на части корабль, который вы захотите использовать позже.",,,,,,,,
acttitle423,[c][ffffff]Activate your cryo chamber system,,,,,,,,[ffffff]Активируйте свою криокамеру[-],,,,,,,,
actdesc423,Activate the cryo chamber system (teleporter pad) in your cabin to signal to the smugglers that you are ready for departure.,,,,,,,,"Активируйте систему криокамеры (телепортер) в вашей кабине, чтобы сообщить контрабандистам, что вы готовы к отъезду.",,,,,,,,
complete423,\n,,,,,,,,,,,,,,,,
complete4,"You expected that the cryo system would wake you up once you have arrived on Veldis.\n\nHowever, you abruptly wake up from your cryo-sleep with alarm sounds ringing - something's not right! \nYou realize that you have not landed on Veldis yet. \nThe whole ship around you is shaking from impact hits. \nYou are under attack!",,,,,,,,"Вы ожидали, что криосистема разбудит вас, как только вы приедете на Veldis.\n\nТем не менее, вы внезапно просыпаетесь от крио-сна со звонкими звуками тревоги - что-то не так!\nВы понимаете, что еще не приземлились на Veldis.\nВесь корабль вокруг тебя дрожит от ударов.\nВы находитесь под атакой!",,,,,,,,
chaptertitle5,Chapter 5 - Under attack,,,,,,,,[ffffff]Глава 5 - Под атакой[-],,,,,,,,
chpdesc5,You abruptly wake up - something's not right! You realize that you have not landed on Veldis yet. The whole ship around you is shaking from impact hits. You are under attack! The Zirax have chased you down. And the smugglers have no turrets to defend themselves against the attackers. This is a lost cause. Hurry to the escape shuttle and flee from the smuggler ship!,,,,,,,,"Вы внезапно просыпаетесь - что-то не так! Вы понимаете, что еще не приземлились на Veldis . Весь корабль вокруг тебя дрожит от ударов. Вы находитесь под атакой! Зиракс преследовали тебя. И у контрабандистов нет турелей для защиты от нападавших. Это безнадежное дело. Спешите к спасательному шаттлу и бегите с корабля контрабандистов!",,,,,,,,
tasktitle51,Escape!,,,,,,,,[ffffff]Спасение![-],,,,,,,,
acttitle512,[c][ffffff]Activate evacuation procedures,,,,,,,,[ffffff]Активировать процедуры эвакуации[-],,,,,,,,
actdesc512,Rush to the small shuttle docked beneath the smuggler freighter. Activate the evacuation procedures (teleporter) to activate the emergency autopilot.,,,,,,,,"Мчитесь к маленькому шаттлу, пристыкованному под грузом контрабаны. Активируйте процедуры эвакуации (телепорт), чтобы активировать аварийный автопилот.",,,,,,,,
complete512,\nYou have successfully escaped with the shuttle. The autopilot has targeted the next available celestial body: the moon of Veldis.\n\nDying computer voice of the shuttle: [8faed3]�Planetary scan complete. Breathable atmosphere: None. Min/Max temperatures: EVA suit required. Local threats: unknown. Zirax th-th-threat levelelelel: hiiiii...�[/c],,,,,,,,Вы успешно сбежали с шаттлом. Автопилот нацелился на следующее доступное небесное тело: Луну Veldis.\n\n[ff8000]Умирающий компьютер голосом шаттла:[-] \nПланетарное сканирование завершено.\nВоздухопроницаемая атмосфера: нет.\nМин. / Макс. Температура: требуется костюм EVA.\nМестные угрозы: неизвестны.Зиракс те-те-угроз ур-уро-вень: выыыыыс...,,,,,,,,
acttitle523,[c][ffffff]Gather the emergency gear,,,,,,,,[ffffff]Соберите аварийное снаряжение[-],,,,,,,,
actdesc523,The autopilot has targeted the next available celestial body: the moon of Veldis. Inspect your shuttle surroundings to see what the smugglers have stored here for an emergency landing.,,,,,,,,"Автопилот нацелился на следующее доступное небесное тело: Луну Veldis. Осмотрите окрестности вашего шаттла, чтобы увидеть, что хранят здесь контрабандисты для экстренной посадки.",,,,,,,,
complete523,\n,,,,,,,,,,,,,,,,
complete5,"Your suit suddenly registers weak ""Sathoidwaves"" again.\nSomething on this moon of Veldis must be emitting these radioactive waves.\nIt might be worth checking it out since the officer you just killed had a similar radiation level.\nMaybe this is linked to the Asteroid Buster cannon as well.",,,,,,,,"Ваш костюм внезапно снова регистрирует слабые [u][i]сатиевые волны[/i][/u].\nЧто-то на этой луне Veldis должно излучать эти радиоактивные волны.\nВозможно, стоит проверить это, так как у офицера, которого вы только что убили, был такой же уровень радиации.\nВозможно, это также связано с пушкой Asteroid Buster.",,,,,,,,
chaptertitle6,Chapter 6 � Dark Side of the Moon,,,,,,,,[ffffff]Глава 6 - Темная сторона Луны[-],,,,,,,,
tasktitle61,The Sathoidwaves,,,,,,,,[ffffff]Сатиевые волны[-],,,,,,,,
acttitle611,[c][ffffff]Follow the signal,,,,,,,,[ffffff]Следуйте за сигналом[-],,,,,,,,
actdesc611,Follow the highlighted waypoint signal and investigate the source of Sathoidwaves.,,,,,,,,Следуйте за выделенным сигналом путевой точки и исследуйте источник сатиевых волн.,,,,,,,,
complete611,\nSo the source of the radiation is a Zirax weapon research center. Maybe the Asteroid Buster was invented here. There could be hints how to destroy it in here as well.,,,,,,,,"Таким образом, источником излучения является исследовательский центр оружия Зиракс. Возможно Asteroid Buster был изобретен здесь. Здесь также могут быть намеки, как его уничтожить.",,,,,,,,
acttitle612,[c][ffffff]Defeat the security system,,,,,,,,[ffffff]Разгром системы безопасности[-],,,,,,,,
actdesc612,The facility is well guarded. Let no one stop you from reaching your goal.,,,,,,,,Объект хорошо охраняется. Пусть никто не помешает вам достичь своей цели.,,,,,,,,
complete612,\nThe walker drone has been destroyed.,,,,,,,,Бродячие Дроны были уничтожены.,,,,,,,,
