KEY,English,Deutsch
acttitleOpenEscPod,"Open Escape Pod Inventory","Kapsel Inventar öffnen"
actdescOpenEscPod,"Access Escape Pod inventory by aiming at it and pressing 'F'.\n\n[b]Hint:[/b] Any device in Empyrion can be accessed by hitting 'F'.\n\n[b]To change the keys, just remap them via OPTIONS > CONTROLS ![/b]","Greife auf das Inventar der Notlandekapsel zu indem du darauf schaust und 'F' drückst.\n\n[b]Tipp:[/b] Der Zugriff auf jedes Gerät in Empyrion erfolgt auf diese Weise.\n\n[b]Um die Tasten zu ändern, belege sie unter OPTIONEN > STEUERUNG einfach neu![/b]"
acttitleGrabEquipment,"Grab your Equipment","Ausrüstung mitnehmen"
actdescGrabEquipment,"There is a 'Collect All' arrow on the top right edge of the escape capsule inventory. Click it and all the stuff will be moved to your player inventory!\n\n[b]Important:[/b] Pick up ALL the stuff, because the capsule will DESPAWN after a few minutes. Items that are left in the inventory will be LOST!\n\n[u]Tips:[/u]\n- Move the Pistol, Drill, Chainsaw, Small Medikit and other devices like the Survival Constructor to your toolbar. You'll need those items soon.\n- You can easily move any item with SHIFT-LeftMouse-click between your toolbar and your inventory.\n- You do not need to add ammo or charges to your toolbar, weapons and tools will be reloaded from your inventory.\n-You can consume items like food or consumables from your toolbar (Place them in a free slot and use LeftMouse-Click) OR from your inventory as well (SHIFT-RightMouse-Click on an item)\n- Blocks or devices you want to place  have to be moved to the toolbar.","Beachte den 'Nimm alles'-Pfeil rechts oben des Notlandekapsel-Inventars. Klcike auf diesen, um alle Elemente in dein Spieler-Inventar zu verschieben!\n\n[b]Wichtig:[/b] Nimm ALLE Gegenstände aus der Kapsel, denn diese verschwindet nach kurzer Zeit. Alles was dann noch im Inventar der Kapsel ist, geht dir verloren!\n\n[b]Tipps[/b]\n- Verschiebe die Pistole, Bohrer, Kettensäge sowie das kleine MediKit und andere Items wie den Survival Constructor in deine Toolbar. Du brauchst diese Sachen bald.\n- Du kannst einzelne Gegenstände und ganze Stapel auch mittels SHIFT-Linke-Maustaste-Klick zwischen deiner Toolbar und dem Inventar hin- und her verschieben.\n- Munition oder Ladungen für Werkzeuge brauchst du nicht in die Toolbar verschieben, Waffen und Werkzeuge werden direkt aus deinem Inventar nachgeladen.\n- Essen oder andere Verbrauchsgegenstände kannst du entweder in deine Toolbar ablegen und benutzen (Linke-Maustaste-Click) ODER direkt aus dem Inventar (SHIFT+RechteMaustaste)\n- Blocks oder Geräte die du platzieren willst, musst du ebenfalls vorher in die Toolbar gelegt haben.*"
tasktitlePlSurvConstr,"Place Survival Constructor","Überlebenskonstruktor platzieren"
acttitlePlSurvConstr,"Place Survival Constructor","Überlebenskonstruktor platzieren"
actdescPlSurvConstr,"Select the Survival Constructor by scrolling with the mouse to its slot or use the number keys to quick select it from the toolbar. A preview of the device is now shown in your HUD. If it is surrounded by a red wireframe, the terrain may be too steep or uneven. Move the preview around until the wireframe turns blue. Before placing the survival constructor, find a suitable place, preferably close to a lake or an important ore deposit (like Iron or Promethium) ahead of building your camp.  \n\nALL blocks in Empyrion are placed this way, be it terrain-placeables like the Survival Constructor or blocks added to a vessel or base.\n\n[b]Important:[/b]\nThe Survival Constructor is capable of creating a few basic devices and cooking some meals. You can refine ore and build basic blocks,but it is missing the capabilities of a Small, Large or Advanced Constructor AND you  need to create all device components manually.\nIts advantage: the Survival Constructor doesn't need fuel packs or other energy types to operate!\n\n[u]Tips:[/u]\n- The Survival Constructor can be used to store a few extra items freeing up your inventory space to collect more items.\n- The Survival Constructor has a marker on the radar map to help you find your camping spot.\n\n[b]The Survival Constructor, as well as the O2 Generator, H2O2 Generator and Water Generator, can be picked up again by aming at it an pressing SHIFT+F! (Exception: Starter Blocks. See Chapter 2+3 for more info)[/b]","Wählen den Überlebenskonstruktor aus, indem du mit dem Mausrad auf seinen Ablageplatz in deiner Toolbar scrollst - oder nutze die zugehörige Nummerntaste. Es erscheint eine Vorschau des Geräts in deinem Sichtbereich  auf dem Helmvisier (HUD). Wenn die Vorschau von einem roten Drahtgitter umfasst ist, dann ist eventuell der Boden zu abschüssig oder es gibt sonst einen Grund, warum das Gerät hier nicht platziert werden kann. Suche nach einer Stelle, an welcher der Rahmen blau wird um den Überlebenskonstruktor absetzen zu können. Suche jedoch erst nach einem passenden Platz für dein Camp. Idealerweise in der Nähe eines Sees oder eines wichtigen Ressourcenvorkommens (wie z.B. Eisen oder Promethium).\n\nALLE Blöcke im Spiel werden auf diese Weise platziert, egal ob Geräte wie der Überlebenskonstruktor, der direkt auf dem Planetenboden gesetzt werden kann, oder Blöcke die du an deine Raumschiffe oder Weltraumbasen anfügst.\n\n[b]WICHTIG:[/b]\nDer Überlebenskonstruktor kann einige grundlegende Geräte sowie ein paar einfache Gerichte herstellen. Du kannst mit ihm Erze raffinerieren und einfache Blöcke herstellen. Ihm fehlen darüber hinaus allerdings die Möglichkeiten für komplexere Gerätschaften, wie sie der Kleine, Große und Verbesserte Konstruktor erzeugen können UND du musst alle Zwischen-Komponenten selbst herstellen.\nSein Vorteil: Er braucht keinen Brennstoff da er mit Solarenergie betrieben wird.\n\n[u]Tipps:[/u]\n- Im Überlebenskonstruktor kannst du Dinge zwischenlagern und somit etwas mehr Stauraum in deinem persönlichen Inventar frei halten!\n- Der Überlebenskonstruktor wird mit einem Symbol auf deiner Radarkarte und auch auf der großen Planetenkarte angezeigt. So findest du immer zu deinem Camp zurück!\n\n[b]Der Überlebenskonstruktor, sowie andere, direkt auf Terrain/im Wasser platzierbaren Geräte (O2 Generator, H2O2 Generator, Wasser Generator) können wieder aufgesammelt werden: Ziele auf das Gerät und drücke SHIFT-F! (Ausnahme: Starter Blöcke. Siehe Mission 2 und 3) [/b]"
tasktitleBasicCrafting,"Basic Crafting","Einfache Produktionsvorgänge"
acttitleAddCraftingMats,"Add Crafting Materials","Baumaterial hinzufügen"
actdescAddCraftingMats,"To start crafting basic items, access the Survival Constructor (D). Hold SHIFT and left-mouse-click on the resources in your inventory. This will transfer them to the constructor's inventory. At least add the promethium pellets, but consider to add all of the following: all of the ingots (Iron, Silicon,..), Magnesium Powder and the Core block.","Um die grundlegenden Dinge herzustellen, öffne zuerst den Überlebenskonstruktor (F). Halte SHIFT gedrückt und klicke mit der linken Maustaste auf die Erze und Ressourcen in deinem persönlichen Inventar. Das verschiebt die angeklickten Stapel in das Inventar des Überlebenskonstruktors. Füge auf jeden Fall die Promethiumpellets hinzu. Du solltest aber auch alle Erze (Eisen, Silikon,....), sowie das Magnesiumpulver und den Kern-Block in das Konstruktor Inventar verschieben."
acttitleFuelPackTempl,"Add Fuel Pack Templates","Kraftstoffz. Vorl. wählen"
actdescFuelPackTempl,"Open the COMPONENTS template folder on the top right edge of the constructor screen. Hold SHIFT and use left-mouse click on the Fuel Pack (Promethium) template twice. This will add 20 templates to the construction queue.","Klicke in der oberen rechten Ecke des Inventars auf  das Symbol für KOMPONENTEN. Halte SHIFT gedrückt und klicke zwei Mal mit der linken Maustaste auf  die Vorlage für Kraftstoffzelle (Promethium). Das fügt 20 Vorlagen in die Warteschlange hinzu."
acttitleBike,"Add Motorbike Template","Motorrad Vorl. einfügen"
actdescBike,"Before starting the Constructor, also add the Template for the Motorbike. Open the DEVICES tab and click on the template once. You need to move the Motorbike Construction Kit to the Constructor Inventory as well","Bevor du den Überlebenskonstruktor aktivierst, füge der Warteschlage noch das Motorrad-Template hinzu. Öffne den Reiter GERÄTE und klicke einmal auf das Template. Du musst hierfür erst den Motorradbausatz in das Inventar des Überlebenskonstruktors legen."
acttitleStartProduction,"Start Production","Produktion starten"
actdescStartProduction,"Find the ON/OFF switch on the top right edge of the constructor screen. Click once to set to ON. The constructor will now start to work on the queued templates. When the construction has finished, you'll find the crafted items in the constructor inventory on the left.\n\n[u]Tips:[/u]\n- If you want to remove the template that is currently produced from the construction queue, you first need to switch the constructor to OFF!\n- You can remove all other templates from the queue by clicking on the template in the queue even if the Constructor is ON.\n- You can always add MORE or DIFFERENT templates to the construction queue.\n- Holding SHIFT while clicking on an item or a stack of items either in your player inventory or a device inventory, will move them back and forth between them.\n- Holding SHIFT while clicking on a template stack in the queue will remove 10 templates at once\n- Holdins SHIFT while clicking on a template in the Constructor Tab will add 10 templates to the constructor queue.","Klicke auf den Schalter On/Off oben rechts im Inventar des Überlebenskonstruktors. Der Konstruktor nimmt nun die Arbeit auf und produziert die fertigen Gegenstände in der Reihenfolge wie sie in der Warteschlange angelegt wurden. Wenn die Produktion abgeschlossen ist, findest du den hergestellten Gegenstand im Inventar des Überlebenskonstruktors.\n\n[u]Tipps:[/u]\n- Wenn du eine Vorlage die gerade aktiv hergestellt wird  aus der Warteschlange entfernen willst, musst du den Konstruktor erst abschalten.\n- Alle anderen Vorlagen kannst du jederzeit aus der Warteschlange entfernen, indem du einfach auf den jeweiligen Warteschlangen-Stapel klickst.\n- Du kannst jederzeit andere oder mehr der gleichen Vorlagen in die Warteschlange hinzufügen.\n- Wenn du SHIFT gedrückt hältst, während du auf einen Stapel oder einen einzelnen Gegenstand klickst, wird dieser automatisch zwischen deinem Inventar und dem Inventar des gerade geöffneten Gerätes hin- und her verschoben.\n- Wenn du SHIFT gedrückt hältst, während du auf einen Stabel in der Warteschlange klickst, werden 10 Vorlagen auf einen Schlag entfernt.\n- Wenn du SHIFT gedrückt hältst, während du auf eine Vorlage in der Konstruktor Auswahl klickst, werden 10 Vorlagen in die Warteschlange hinzugefügt."
tasktitleOxygenSupply,"Oxygen Supply","Sauerstoffversorgung"
acttitlePlaceOxGen,"Place O2 Generator","O2 Generator platzieren"
actdescPlaceOxGen,"To place a standard O2 Generator find a nearby lake and place the generator knee-deep in the water. An Emergency O2 Generator can be placed everywhere.","Zum Platzieren eines Standard Sauerstoff-Generators suche einen See in der Nähe und platziere den Generator knietief im Wasser. Ein Notfall O2 Generator kann überall platziert werden."
acttitlePowerOxGen,"Power O2 Generator","O2 Generator aktivieren"
actdescPowerOxGen,"Access the O2 Generator (F). Then add two of your fuel packs to the Energy Reservoir via drag and drop. After having added one or two fuel packs, a countdown timer will start, showing when the next Oxygen Bottles will be available.\n\n[b]Important:[/b]\n- Only the very base of the O2 generator needs to be in water. It does not need to be submerged, and doing so will not increase its efficiency; 80% is the maximum efficiency by now.\n- Later in the game, when placing several O2 Generators, Do NOT place a row of O2 Generators side by side close together! A O2 Generators needs some 'working space'. If you place them too close together, some O2 Generators will not have access to Water (It is 'sucked in' by the O2 Generators nearby!)\n\n [u]Tips:[/u]\n- If you are playing on Kelt/Mato/Mercenary Camp you do not need to set up the Oxygen Generator that early in the game. Just take off your Helmet (U) and you won't use up your suits O2 reservoir! If you do not want to place the O2 Generator in this task, just click the checkbox in front of the task in the task list above!\n- If you want to add a whole stack of fuel, hold SHIFT and click on the stack once. The fuel packs will get moved to the free reservoir slots.","Öffne den O2 Generator (F). Füge zwei deiner Kraftstoffzellen in das Feld Kraftstoffe hinzu.  Es setzt jetzt ein Countdown ein der dir anzeigt, wann die nächste Sauerstoffflasche fertig produziert ist.\n\n[b]Wichtig:[/b]\n- Nur der Boden des O2 Generator muss im Wasser sein. Er muss nicht komplett untertauchen um effizienter zu werden; aktuell sind 80% Qualität das Maximum. \n- Wenn du später mehrere O2 Generatoren platziert, setzte sie nicht dicht an dicht! Jeder Generator benötigt ein kleines Einzugsgebiet um sich herum um zu funktionieren. Setzt du die O2 Generatoren zu dicht, kann es passieren dass der ein oder andere nicht funktioniert, weil sein Nachbar ihm das Arbeitsmedium Wasser entzieht!\n\n[u]Tipps:[/u]\n- Wenn du dich auf Kelt/Mato/Mercenary Camp befindest, brauchst du so früh im Spiel noch keinen O2 Generator. Setze einfach deinen Helm ab (U) und du verbrauchst nicht den Sauerstoffvorrat deines Anzuges. Wenn du den O2 Generator daher jetzt nicht setzen willst, klicke einfach in die jeweilige Checkbox in der Taskliste (oben) um die Aufgabe abzuschließen!\n- Wenn du auf einen Schlag das ganze Feld Kraftstoffe auffüllen willst, halte SHIFT gedrückt und klicke in deinem Inventar auf die Kraftstoffzellen. Diese werden damit auf die freien Plätze im Kraftstoff Bereich des O2 Generator verteilt."
tasktitlePickupPlants,"Pick up Plants","Pflanzen sammeln"
acttitleEdiblePlants,"Find Edible Plants","Essbare Pflanzen finden"
actdescEdiblePlants,"If your food bar is low, you should watch out for edible plants. Go wandering around, pick up some plants. To check their stats, open your inventory and hover over the plant. An info panel will show up on the right side of the screen and tell you what you can expect from the plant when you consume it. For plants, the attributes affected are food, health and stamina.\n\nSearch for the Ahax Plant on Kelt/Mato/Mercenary Camp or Corn Dogs on Kelt/Mato/Mercenary Camp.\n\n[u]Please note:[/u]\nYou can also make Seaweed Snacks  from Seaweed found on the bottom of deep lakes, using the Survival Constructor or a Food Processor. This will also COMPLETE this task!\n Kelt/Mato/Mercenary Camp: this task will also be completed when collecting Space Oranges, Opuntia Cactus or Textured Plant Protein","Wenn deine Nahrungsanzeige sinkt, halte Ausschau nach essbaren Pflanzen. Laufe etwas herum und sammele Pflanzen auf. Sieh dir ihre Werte genau an, indem du dein Inventar öffnest und mit dem Mauszeiger über das Icon fährst. Im Info-Feld am Bildschirmrand wird dir angezeigt, welche Vorteile und Nachteile du erhältst, wenn du die Pflanze isst.  Bezogen auf Pflanzen sind die wichtigen Attribute hierbei Nahrung, Gesundheit und Ausdauer.\n\nAuf Kelt/Mato/Mercenary Camp suche nach Corn Dogs. Auf Kelt/Mato/Mercenary Camp halte nach der Ahax Pflanze Ausschau.\n\n[u]Hinweis:[/u]\nAlternativ zu Corndogs und Ahax Frucht kannst du mit dem Überlebenskonstruktor aus Meeresalgen, welche du in den tieferen Seen findest, auch Meeresalgen Snacks herstellen. Auch DAMIT kannst du diese Aufgabe abschließen!\n Kelt/Mato/Mercenary Camp: die Aufgabe kann ebenfalls abgeschlossen werden durch das Aufsammeln von Space Oranges, Opuntia Kaktus oder Texturiertem Pflanzenprotein."
acttitleMedPlants,"Find Medical Plants","Heilpflanzen finden"
actdescMedPlants,"If you get hurt by alien wildlife, you sometimes need more than just a medi kit. If you get bitten by some of the more aggressive fauna, you also may have gotten injured with a 'Poisonous Bite'. If you were lucky and picked up a Pixie Stalk Bundle somewhere on Kelt/Mato/Mercenary Camp (or the Alien Spike Lemon on Kelt/Mato/Mercenary Camp), you now should consume it and you will be cured.\n\nGo search for some more Pixie Stalk Bundles (Kelt/Mato/Mercenary Camp) or Alien Spike Lemons (Kelt/Mato/Mercenary Camp).\n\n[u]Please note:[/u]\n- As an addition to Pixie Stalks, you can also craft bandages out of Fibre and Aloe Vera. Bandages will restore Health and heal open wounds. Collecting one of these plants ALSO completes this task!\n\n[b]Important:[/b]\nFood and plants have a PERISH TIME. This timer will tell you, when the item turns into Spoiled Food.\n\n[u]Tips:[/u]\n- [b]Kelt/Mato/Mercenary Camp[/b]: Corndogs can be found in the  the Open Planes. Pixie Stalks can be found in the Tropical Forests.Have a look at the biome info that is displayed below your top-right radar map and you'll know in which area you currently are walking around!\n- [b]Kelt/Mato/Mercenary Camp[/b]: Ahax Plant and Alien Spike Lemon can be found in the Higher Plains.\nYou can also make Seaweed Snacks  from Seaweed found on the bottom of deep lakes, using the Survival Constructor or a Food Processor. \n- Don't throw away Spoiled food! You'll need it for gardening purposes later on!\nAll Plants fall back to a growing state when harvested. So if you found a suitable place with useful plants, remember it and come back later to harvest the plants again when they are re-grown.\n\n[b]Important:[/b]\nAll of the plants collected in the wild have a slight chance of giving you the 'poisoned food' disease when consumed. Use Seaweed Snacks, Stomach Pills and other items for a treatment. (All cooked food and self-grown crops are NOT affected!)","Wenn du auf deinen Wanderungen von der einheimischen Fauna verletzt wurdest, brauchst du manchmal mehr als nur ein Medikit. Falls du angegriffen wurdest und eine Giftbiss erhalten hast, hilft dagegen das  Pixie-Stiel Bündel (Kelt/Mato/Mercenary Camp) oder die Alien Spike Lemon (Kelt/Mato/Mercenary Camp).\n\nJe nachdem wo du gerade bist, suche daher zunächst ein paar der Pixie-Stiel Bündel oder Alien Spike Lemon um sie kennen zu lernen.\n\n[u]Hinweis:[/u]\n- Als Ergänzung zu Pixie Stalks und Alien Spike Lemon bieten sich Bandagen, hergestellt aus Fasern und Aloe Vera an. Diese stellen Gesundheitspunkte wieder her und heilen offene Wunden. Mit dem Einsammeln einer dieser Pflanzen kannst du die Aufgabe EBENFALLS abschließen!\n\n[b]Wichtig:[/b]Nahrungsmittel und Pflanzen haben eine VERFALLSZEIT. Wenn die Zeit abgelaufen ist, verwandelt sich der Gegenstand in ein Verdorbenes Lebensmittel.\n\n[u]Tipps:[/u]\n- [b]Kelt/Mato/Mercenary Camp:[/b] Corndogs findest du in den Open Plains. Pixie-Stiel Bündel findest du im Tropical Forest. Schaue auf die Biome-Info die unterhalb der oberen rechten Radarkarte angezeigt wird und du weist sofort, ob du richtig bist!\n- [b]Kelt/Mato/Mercenary Camp:[/b] Die Ahax Pflanze und die Alien Spike Lemons findest du in den Higher Plains.\nAlternativ zu Corndogs und Ahax Frucht kannst du mit dem Überlebenskonstruktor aus Meeresalgen, welche du in den tieferen Seen findest, auch Meeresalgen Snacks herstellen.\n- Wirf die verdorbenen Lebensmittel nicht weg. Du brauchst sie später für deinen Gartenbau!\nWird eine Pflanze geerntet, wächst sie an der gleichen Stelle wieder nach. Du erkennst das daran, dass sie sich nach dem Ernten in ein kleineres Pflänzchen zurück verwandelt. Merke dir also gute Stellen und komme später wieder um erneut zu sammeln!\n\n[b]Wichtig:[/b]\nJede gesammelte Pflanze hat eine mehr oder weniger geringe Chance, eine Nahrungsmittel-Vergiftung zu erzeugen. Nutze Meeresalgen Snacks, Magentabletten und andere Arzneimittel zur Heilung. Gekochtes Essen und selbst angebaute Pflanzen sind davon nicht betroffen!"
tasktitleConsumeItem,"Consume an Item","Gegenstand verbrauchen"
acttitleConsumeItem,"Consume an Item","Gegenstand verbrauchen"
actdescConsumeItem,"There are two ways to consume an item:\n\nA: From your inventory\nUse SHIFT+RightMouse click on any consumable or stack of consumables. If you use the buttons on a stack, only one item of the stack will be consumed with each click.\n\nB: From your toolbar\n1. Add a consumable item, like food or a Small O2 Bottle, to a free slot in your toolbar.\n2. Select the consumable in your toolbar (orange glow).\n3. Ahead of clicking the left-mouse button, make sure your crosshair does not point at a device. Your crosshair should not show a box in the centre, but only a point!\n4. With the desired consumable highlighted in the toolbar, click the left-mouse button once.","Es gibt zwei Wege, einen konsumierbaren Gegenstand zu verbrauchen:\n\nA: Aus dem Inventar\nKlicke einfach mit SHIFT+RechteMaustaste auf einen Verbrauchsgegenstand oder einen Stapel von Verbrauchsgegenständen. Bei letzterem wird pro Klick ein Item nach dem anderen verbraucht\n\nB: In der Toolbar\n1. Lege einen Verbrauchsgegenstand, z.b. Essen oder eine kleine Sauerstoffflasche, in einem freien Platz in deiner Toolbar ab\n2. Wähle den Verbrauchsgegenstand per Mausrad oder mit der entsprechenden Nummerntaste aus, so dass ein orangener Rahmen um ihn erscheint.\n3 Bevor du den Gegenstand konsumierst, versichere dich, dass dein Fadenkreuz nicht auf ein aktivierbares Gerät (z.B. den Überlebenskonstruktor) zeigt. Das Fadenkreuz darf im Zentrum nur einen Punkt anzeigen und kein Rechteck.\n4. Klicke die linke Maustaste ein Mal um den ausgewählten Gegenstand zu konsumieren."
tasktitleHuntLoot,"Hunting and Looting","Jagen und Ausnehmen"
acttitleKillAnimal,"Kill an Animal","Beute erlegen"
actdescKillAnimal,"You have been equipped with a Tier 1 Pistol and a few rounds of ammo. That's enough for some early hunting. Why hunting? Because meat provides more Food-Points than edible plants! First: equip your Tier 1 Pistol. Select it from the toolbar via mouse wheel or use its number button.\n\n[u]Tip:[/u] When equipping a new weapon, check the ammo counter and reload if necessary. [b]Always reload ahead of a fight! [/b] Default key is 'R' to reload.\n\nNow, go find some fauna and hunt it down. Grab any of the medical and edible plants and other collectible stuff on your way!","Im Ausrüstungspaket findest du eine Stufe 1 Pistole sowie ein paar Schuss Munition. Das reicht für ein paar kurze Jagdausflüge. Aber warum überhaupt jagen? Ganz einfach: Fleisch stellt auf einen Schlag mehr Nahrungspunkte her als die essbaren Pflanzen! \n\nZunächst lege dir die Pistole in einen freien Platz in deiner Toolbar und wähle sie über das Mausrad oder die Nummerntasten aus.\n\n[u]Tipp:[/u] Wenn du eine Waffe in die Hand nimmst, prüfe das Magazin und lade nach. [b]Lade IMMER nach, bevor du in einen Kampf gehst![/n] Die Standardtaste hierfür ist R.\n\nJetzt ab in die Wildnis, finde und erlege deine Beute. Sammele auf dem Weg dahin Heilpflanzen und andere nützliche Dinge ein - vielleicht brauchst du sie."
acttitleLootAnimal,"Loot an Animal","Beute ausnehmen"
actdescLootAnimal,"If you were successful, approach the dead body and use F (default) to access the corpse. Use the 'grab all' button on the top right corner or drag&drop ALL the items to your inventory. Depending on the fauna or NPC, you will find different amounts of meat and sometimes other items. Go hunting until you think you have enough meat. Don't forget to eat or cure smaller injuries with the edible and medical plants.\n\n[b]Be cautious:[/b]\n- Some creatures will attack you when you start shooting at them!\n- Holding SHIFT will make you run faster, but will drain your Stamina!","Wenn du erfolgreich warst, nähere dich deiner Beute und drücke F (Standard) um sie auszunehmen. Nutze im nachfolgenden Inventar oben rechts den Pfeilbutton, um den ganzen Inhalt in einem Zug in dein Inventar zu übertragen. Je nach Art deiner Beute enthält sie unterschiedliche Mengen an Fleisch oder zusätzlich sogar ganz andere, nützliche Dinge. Setze die Jagd fort bis du denkst dass du genug Fleisch hast (Denke an die Verfallszeit!). Vergesse darüber auch nicht, dich mit den unterwegs gesammelten essbaren Pflanzen und Heilpflanzen zu versorgen, falls du verwundet wurdest oder noch einen längeren Rückweg vor dir hast.\n\n[b]Sei vorsichtig:[/b]\n- Einige Kreaturen greifen dich an, wenn du auf sie schießt!\n- Halte SHIFT gedrückt um zu rennen. Das verbraucht jedoch deine Ausdauer!"
tasktitleSurvivalCooking,"Survival Cooking","Kochen"
acttitleSurvivalCooking,"Cook a Steak or a Salami","Steak oder Salami zubereiten"
