KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish
taskheadEquipItems,Equip toolbelt,Werkzeuggürtel ausrüsten,Equiper la barre outils,,,,Equipar o cinto de ferramentas,,Оснастить панель инструментов,ツールバーへの装備,装备快捷栏,,,
acttitleEquipPistol,Equip pistol,Pistole anlegen,S'équiper du pistolet,,,,Equipar pistola,,Возьмите пистолет,ピストルを装備する,装备一把手枪,,,
actdescEquipPistol,Drag and drop or use SHIFT+left mouse button to move item to your toolbelt,Nutze drag + drop oder SHIFT+Linksklick um den Gegenstand zum Werkzeuggürtel zu verschieben,Faites glisser-déposez ou utilisez MAJ + bouton gauche de la souris pour déplacer l'élément vers votre barre outils,,,,Clique e arraste ou use SHIFT+BotãoEsq do mouse para mover um item até seu cinto de ferramentas,,Перетащите или используйте SHIFT+ЛКМ для перемещения предмета на панель быстрого доступа,ドラッグアンドドロップかShift +左マウスボタンでアイテムをツールバーへ移動させる,鼠标左键拖拽和拖动或按住SHIFT+点击鼠标左键的方式将物品移至你的快捷栏,,,
acttitleEquipMedikit,Equip Medikit,Medikit einstecken,S'équiper du Medikit,,,,Equipar Kit Médico,,Возьмите аптечку,メディキットを装備する,装备医疗瓶,,,
actdescEquipMedikit,Drag and drop or use SHIFT+left mouse button to move item to your toolbelt,Nutze drag + drop oder SHIFT+Linksklick um den Gegenstand zum Werkzeuggürtel zu verschieben,Faites glisser-déposez ou utilisez MAJ + bouton gauche de la souris pour déplacer l'élément vers votre barre outils,,,,Clique e arraste ou use SHIFT+BotãoEsq do mouse para mover um item até seu cinto de ferramentas,,Перетащите или используйте SHIFT+ЛКМ для перемещения предмета на панель быстрого доступа,ドラッグアンドドロップかShift +左マウスボタンでアイテムをツールバーへ移動させる,鼠标左键拖拽和拖动或按住SHIFT+点击鼠标左键的方式将物品移至你的快捷栏,,,
acttitleEquipPills,Equip Antidote,Antidote einstecken,S'équiper de l'Antidote,,,,Equipar Antídoto,,Возьмите антидот,解毒剤を装備する,装备解毒药片,,,
actdescEquipPills,Drag and drop or use SHIFT+left mouse button to move item to your toolbelt,Nutze drag + drop oder SHIFT+Linksklick um den Gegenstand zum Werkzeuggürtel zu verschieben,Faites glisser-déposez ou utilisez MAJ + bouton gauche de la souris pour déplacer l'élément vers votre barre outils,,,,Clique e arraste ou use SHIFT+BotãoEsq do mouse para mover um item até seu cinto de ferramentas,,Перетащите или используйте SHIFT+ЛКМ для перемещения предмета на панель быстрого доступа,ドラッグアンドドロップかShift +左マウスボタンでアイテムをツールバーへ移動させる,鼠标左键拖拽和拖动或按住SHIFT+点击鼠标左键的方式将物品移至你的快捷栏,,,
acttitleEquipRation,Equip Emergency Ration,Notration einstecken,S'équiper de la ration d'urgence,,,,Equipar Ração de Emergência,,Возьмите аварийный паек,非常食を装備する,装备应急口粮,,,
actdescEquipRation,Drag and drop or use SHIFT+left mouse button to move item to your toolbelt,Nutze drag + drop oder SHIFT+Linksklick um den Gegenstand zum Werkzeuggürtel zu verschieben,Faites glisser-déposez ou utilisez MAJ + bouton gauche de la souris pour déplacer l'élément vers votre barre outils,,,,Clique e arraste ou use SHIFT+BotãoEsq do mouse para mover um item até seu cinto de ferramentas,,Перетащите или используйте SHIFT+ЛКМ для перемещения предмета на панель быстрого доступа,ドラッグアンドドロップかShift +左マウスボタンでアイテムをツールバーへ移動させる,鼠标左键拖拽和拖动或按住SHIFT+点击鼠标左键的方式将物品移至你的快捷栏,,,
acttitleEquipWater,Equip purified water,Wasserflasche einstecken,S'équiper de l'eau purifiée,,,,Equipar agua purificada,,Возьмите очищенную воду,精製水を装備する,装备纯净水,,,
actdescEquipWater,Drag and drop or use SHIFT+left mouse button to move item to your toolbelt,Nutze drag + drop oder SHIFT+Linksklick um den Gegenstand zum Werkzeuggürtel zu verschieben,Faites glisser-déposez ou utilisez MAJ + bouton gauche de la souris pour déplacer l'élément vers votre barre outils,,,,Clique e mova ou use SHIFT+BotãoEsq do mouse para mover um item ate a sua cinto de ferramentas,,Перетащите или используйте SHIFT+ЛКМ для перемещения предмета на панель быстрого доступа,ドラッグアンドドロップかShift +左マウスボタンでアイテムをツールバーへ移動させる,鼠标左键拖拽和拖动或按住SHIFT+点击鼠标左键的方式将物品移至你的快捷栏,,,
tasktitleHideout,Find the shelter,Unterschlupf einrichten,Trouver l'abri,,,,Encontre o abrigo,,Найдите убежище,避難できるシェルターを見つける,寻找庇护所,,,
taskheadHideout,Find the shelter,Unterschlupf einrichten,Trouver l'abri,,,,Encontre o abrigo,,Найдите убежище,避難できるシェルターを見つける,寻找庇护所,,,
acttitleFindH,Follow the marker,Unterschlupf finden,Suivez le marqueur (GPS),,,,Siga a marcação,,Следуйте указателю,マーカー地点へ向かう,跟随标记移动,,,
actdescFindH,\n[c][66ffff]I.D.A. -[002]-[-][/c]\nNow we need to find the shelter. Follow the [c][FFFF00]yellow marker[-][/c] on your HUD\n\n- Use [c][ff4444]SHIFT[-][/c] to sprint.\n- Use [c][ff4444]J[-][/c] to activate Jetpack.\n- Use [c][ff4444]SPACE[-][/c] to jump/jetpack jump.\n- Use [c][ff4444]L[-][/c] to activate your suit light.\n- Use [c][ff4444]U[-][/c] to take off your helmet (saves your suit-O2!).\n- Use [c][ff4444].[-][/c] (period) to bring this messages to the screen again.\n- Check [c][ff4444]ESC - Options[-][/c] for an overview of all available controls and keybindings.,Nähern Sie sich dem Unterschlupf der auf Ihrem HUD markiert wurde,"\n[c] [66ffff] I.D.A. -[002]-[-] [/c]\nMaintenant, nous devons trouver l'abri. Suivez le[c] [FFFF00] marqueur jaune [-] [/c][c] à l'aide de votre HUD - [ff4444] Maj [-] [/c] pour sprinter.\n\n- Utilisez[c] [ff4444] J [-] [/c] pour activer le Jetpack.\n- Utilisez[c] [ff4444] espace [-] [/c] pour sauter (avec ou sans Jetpack).\n- Utilisez[c] [ff4444] L [-] [/c] pour activer la lampe de votre combinaison.\n- Utilisez[c] [ff4444] U [-] [/c]pour enlever votre casque (économise l'O2 de votre conbinaison !).\n-Utilisez[c] [ff4444] . [-] [/c] pour afficher ce message à l'écran (rappel).\n- Utilisez[c] [ff4444] ESC -> Options [-] [/c]pour un aperçu de tous les contrôles disponibles et les combinaisons de touches.",,,,\n[c][66ffff]I.D.A. -[002]-[-][/c]\nAgora precisamos encontrar o abrigo. Siga a [c][FFFF00]marcação amarela[-][/c] no seu visor\n\n- Use [c][ff4444]SHIFT[-][/c] para correr.\n- Use [c][ff4444]J[-][/c] para ativar seu Jetpack.\n- Use [c][ff4444]SPACE[-][/c] para pular/dar pulo com jetpack.\n- Use [c][ff4444]L[-][/c] para ativar a luz do seu traje.\n- Use [c][ff4444]U[-][/c] para tirar seu capacete (economiza O2 do seu traje!).\n- Use [c][ff4444].[-][/c] (ponto) para ver essas mensagens novamente.\n- Aperte [c][ff4444]ESC - Opções[-][/c] para ver todas teclas e as funções associadas á cada uma.,,\n[c][66ffff]I.D.A. -[002]-[-][/c]\nТеперь нам нужно найти убежище. Следуйте [c][FFFF00]желтому маркеру[-][/c] на вашем HUD\n\n- Используйте [c][ff4444]SHIFT[-][/c] для бега.\n- Используйте [c][ff4444]J[-][/c] чтобы активировать Jetpack.\n- Используйте [c][ff4444]SPACE[-][/c] для прыжка / взлета с помощью JetPack.\n- Используйте [c][ff4444]L[-][/c] чтобы активировать свет вашего костюма.\n- Используйте [c][ff4444]U[-][/c] чтобы снять шлем (сохраняет запас O2!).\n- Используйте [c][ff4444].[-][/c] (period) чтобы снова отправить это сообщение на экран.\n- Проверьте [c][ff4444]ESC - Опции[-][/c] для обзора всех доступных элементов управления и привязки клавиш.,\n[c][66ffff]I.D.A.   -[002]-[-][/c]\n次にシェルターを探す必要があります。 HUDに表示されている[c][FFFF00]黄色いマーカー[-][/c]へ向かってください。\n\n- [c][ff4444]SHIFT[-][/c] でダッシュします。\n- [c][ff4444]J[-][/c] でジェットパックを使用します。\n- [c][ff4444]SPACE[-][/c] でジャンプ（ジェットパック使用中には上昇）します。\n- [c][ff4444]L[-][/c] でライトを点灯します。\n- [c][ff4444]U[-][/c] でヘルメットを外します（酸素の消費を抑えられます）。\n- [c][ff4444].[-][/c] (period) でこのメッセージを再表示できます。\n- [c][ff4444]ESC - Options[-][/c] でキー設定を変更することができます。,\n[c][66ffff]I.D.A. -[002]-[-][/c]\n现在我们必须找个庇护所。跟随你显示器上的[c][FFFF00]黄色标记[-][/c]移动。\n\n- 按住 [c][ff4444]SHIFT[-][/c]奔跑。\n- 按 [c][ff4444]J[-][/c] 激活喷气背包。\n- 按或按住 [c][ff4444]空格[-][/c] 跳跃或大跳。\n- 按 [c][ff4444]L[-][/c] 打开你护甲的肩灯。\n- 按 [c][ff4444]U[-][/c] 摘下你的头盔以节省护甲内的氧气。\n- 按 [c][ff4444].[-][/c] (句号键) 再次显示上述提示信息。\n- 检查 [c][ff4444]ESC - 选项[-][/c] 中所有功能、动作和其快捷键的设定。,,,
tasktitleHideout2,Activate shelter,Unterschlupf aktivieren,Activer l'abri,,,,Ativar o abrigo,,Активировать убежище,シェルターを稼働させる,激活庇护所,,,
taskheadHideout2,Activate shelter,Unterschlupf aktivieren,Activer l'abri,,,,Ativar o abrigo,,Активировать убежище,シェルターを稼働させる,激活庇护所,,,
acttitleFindTank,Find Fuel Tank,Tank finden,Trouver le réservoir de carburant,,,,Encontre o Tanque de Combustível,,Найти топливный бак,燃料タンクを探す,找到燃料罐,,,
actdescFindTank,"\n[c][66ffff]I.D.A. -[003]-[-][/c]\nThere it is!\n\nOut of fuel - as expected. We need to reactivate the base first.\n- Find the Fuel Tank, aim at it and hit [c][ff4444]F[-][/c].","\n[c][66ffff]I.D.A. -[003]-[-][/c]\nDa ist er!\n\nMit leerem Tank - wie zu erwarten war. Wir müssen die Basis zuerst neu aktivieren.\n- Finde den Kraftstofftank, zeige auf ihn und drücke [c][ff4444]F[-][/c].","\n[c] [66ffff] I.D.A. -[003]-[-] [/c]\nLe voilà ! Plus de carburant bien sur ! et nous avons besoin de réactiver la base tout d'abord.\n Trouvez le réservoir de carburant, visez-le et appuyez sur[c] [ff4444] F [-] [/c].\n",,,,"\n[c][66ffff]I.D.A. -[003]-[-][/c]\nAqui estamos!\n\nSem combustível - como esperado. Nós precisamos reativar a base primeiro.\n- Encontre o Tanque de Combustível, mire nele e aperte [c][ff4444]F[-][/c].",,"\n[c][66ffff]I.D.A. -[003]-[-][/c]\nЭто здесь!\n\nТоплива нет - как и ожидалось. Нам нужно сначала реактивировать базу.\n- Найти топливный бак, прицелиться в него и нажать [c][ff4444]F[-][/c].",\n[c][66ffff]I.D.A.   -[003]-[-][/c]\n見つけた！しかし燃料が不足している、再稼働させるためには燃料を充填しなければいけない\n持っている燃料を入れてください。[c][ff4444]F[-][/c].,\n[c][66ffff]I.D.A. -[003]-[-][/c]\n就是它！\n\n没有能源了 - 嗯嗯，和我预计的一样！我们首先要激活它。\n- 找到燃料罐，对准它按[c][ff4444]F[-][/c]。,,,
acttitleFillTank,Fill Fuel Tank,Tank füllen,Remplir le réservoir de carburant,,,,Complete o Tanque de Combustível,,Наполните топливный бак,燃料を入れる,填充燃料罐,,,
actdescFillTank,\n[c][66ffff]I.D.A. -[003]-[-][/c]\nDrag the fuel pack to the intake to fill the tank.,\n[c][66ffff]I.D.A. -[003]-[-][/c]\nZiehe die Kraftstoffzelle zum Einlaß um den Tank zu befüllen.,"\n[c][66ffff] I.D.A. -[004]-[-] [/c]\nFaites glisser le pack carburant de votre inventaire vers le réservoir.\nC'est pas beaucoup de carburant, mais c'est mieux que rien.\n",,,,\n[c][66ffff]I.D.A. -[003]-[-][/c]\nArraste o pacote de combustível para a entrada para preencher o tanque.,,\n[c][66ffff]I.D.A. -[003]-[-][/c]\nПеретащите топливо в бак до его заполнения.,\n[c][66ffff]I.D.A.   -[003]-[-][/c]\n燃料パックをドラッグして燃料タンクに投入してください。,\n[c][66ffff]I.D.A. -[003]-[-][/c]\n将你身上的燃料包拖进燃料罐填充。,,,
acttitleActivate,Activate Base (Y),Basis einschalten (Y),Activer la Base (Y),,,,Ative a Base (Y),,Активируйте базу (Y),拠点を有効化するには”Y”を押す,激活基地（Y）,,,
