KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish
bmDesertLargeRocks,Large Rocks,Felsen,Grands rochers,Grandi Rocce,Rocas grandes,Rochedos Grandes,Pedras Grandes,Skalisko,Большие камни,大きな岩,巨型岩石,大片岩地,대형 바위,Büyük Kayalar
bmDesertLowMountains,Low Mountains,Niedrige Berge,Basses montagnes,Bassa Montagna,Cordillera baja,Montanhas Baixas,Montanhas Baixas,Wzgórza,Низкие горы,丘陵,低矮山丘,較低山地,낮은 산,Küçük Dağlar
bmDesertLowPlains,Low Plains,Niedriges Flachland,Basses plaines,Bassa Pianura,Llanuras bajas,Planícies Baixas,Planícies baixas,Niziny,Низины,低地,低矮平原,較低平原,저지대 평원,Alçak Ovalar
bmDesertSmallLake,Lake,See,Lac,Lago,Lago,Lago,Lago,Oaza,Лесное озеро,湖,湖泊,湖泊,호수,Göl
bmDesertSolitude,Desert Solitude,Einöde,Désert aride,Deserto Arido,Desierto solitario,Solidão do Deserto,Solidão do Deserto,Pustynna głusza,Безлюдная пустыня,砂漠,荒芜沙漠,荒野沙漠,고요한 사막,Issız Çöl
bmIslands,Islands,Inselwelt,Iles,Isole,Islas,Ilhas,Ilhas,Wyspy,Острова,島,岛屿,島嶼,섬,Adalar
bmLava,Lava,Lava,Lave,Lava,Lava,Lava,Lava,Lawa,Лава,溶岩,岩浆,熔岩,용암,Lav
bmLavaFog,Lava Fog,Nebelgebiet,Brouillard de lave,Nebbia Lavica,Bruma de lava,Névoa de lava,Névoa de Lava,Magmowy pył,Лавовые испарения,溶岩濃霧,岩浆雾霾,熔岩霧,용암 안개,Lav Sisi
bmLavaPlains,Lava Plains,Flachland,Plaines de lave,Pianure Laviche,Llanuras de lava,Planícies de lava,Planícies de lava,Niziny lawy,Лавовые равнины,溶岩台地,熔岩平原,熔岩平原,용암 평원,Lav Ovaları
bmMountains,Mountains,Berge,Montagnes,Montagne,Montañas,Montanhas,Montanhas,Góry,Горы,山地,山脉,山地,산맥,Dağlar
bmOcean,Ocean,Ozean,Océan,Oceano,Océano,Oceano,Oceano,Ocean,Океан,海洋,海洋,海洋,대양,Okyanus
bmOpenPlains,Open Plains,Offene Prärie,Grandes plaines,Aperta Pianura,Llanuras abiertas,Planícies Abertas,Planícies Abertas,Rozległe niziny,Открытые равнины,平原,开阔平原,開闊平原,열린 평원,Açık Ovalar
bmSmallLake,Lake,See,Lac,Lago,Lago,Lago,Lago,Jezioro,Малое озеро,小さな湖,湖泊,湖泊,호수,Göl
bmSwamp,Swamp,Sumpf,Marécage,Palude,Ciénaga,Pântano,Pântano,Bagno,Болото,沼地,沼泽,沼澤,늪,Bataklık
bmTropicalForest,Tropical Forest,Tropischer Wald,Forêt tropicale,Foresta Tropicale,Bosque tropical,Floresta Tropical,Floresta Tropical,Dżungla,Тропический лес,熱帯林,热带雨林,熱帶森林,열대림,Tropik Orman
bmTropicalIsland,Tropical Island,Tropische Insel,Ile tropicale,Isola Tropicale,Isla tropical,Ilha Tropical,Ilha Tropical,Tropikalne wyspy,Тропический остров,亜熱帯,热带岛屿,熱帶島嶼,열대섬,Tropik Ada
bmWater,Lake,See,Lac,Lago,Lago,Lago,Lago,Jezioro,Озеро,湖,湖泊,湖泊,호수,Göl
AlienBlocks,Alien Building Blocks,Alien Baublöcke,Blocs Alien,Blocchi da Costruzione Alieni,Bloque de construcción alienígena,Blocos de Construção Alien,Blocos Alien de Construção,Bloki obcych (grupa),Строительные блоки инопланетян,エイリアンブロック,外星建筑方块,外星建築方塊,외계 빌딩 블록,Uzay İnşa Blokları
AlienFull,Alien Block,Alienblock,Bloc Alien,Blocco Alieno,Bloque alienígena,Bloco Alien,Bloco Alien,Blok obcych,Блок инопланетян,エイリアンブロック,外星方块,外星方塊,외계 블록,Uzay Bloku
AlienInteriorGreen01,Alien Block (Green),Außerirdischer Block (grün),Bloc Alien (vert),Blocco Alieno (Verde),Bloque alienígena (verde),Bloco Alien (Verde),Bloco Alien (Verde),Blok obcych (zielony),Блок инопланетян (зеленый),エイリアンブロック(グリーン),外星方块（绿色）,外星方塊（綠）,외계 블록(녹색),Uzay Bloku (Yeşil)
AlienInteriorGreen02,Alien Block 2 (Green),Außerirdischer Block 2 (grün),Bloc Alien 2 (vert),Blocco Alieno 2 (Verde),Bloque alienígena 2 (verde),Bloco Alien 2 (Verde),Bloco Alien 2 (Verde),Blok obcych 2 (zielony),Блок инопланетян 2 (зеленый),エイリアンブロック2(グリーン),外星方块2（绿色）,外星方塊2（綠）,외계 블록 2(녹색),Uzay Bloku 2 (Yeşil)
AlienInteriorGreenWedge01,Alien Slope (Green),Außerirdischer Block schräg 1 (grün),Bloc Alien pente (vert),Pendenza Aliena (Verde),Ladera alienígena,Inclinação Alien (Verde),Inclinado Alien (Verde),Blok obcych - nachylony,Блок инопланетян наклонный (зеленый),エイリアンスロープ(グリーン),外星斜坡（绿色）,外星斜坡（綠）,외계 경사면(녹색),Uzay Eğimi (Yeşil)
AlienThin,Alien Block,Alienblock,Bloc Alien (fin),Blocco Alieno,Bloque alienígena,Bloco Alien,Bloco Alien,Blok obcych,Блок инопланетян (тонкий),エイリアンブロック,外星方块,外星方塊,외계 블록,Uzay Bloku
Artificialmass,Artificial Mass,Künstliche Masse,Masse artificielle,Massa Artificiale,Masa alienígena,Massa Artificial,Massa Artificial,Blok masy,Искуственная масса,バラスト,人造质量,人工製品,인공물,Yapay Kütle
ArtMassBlocks,Artificial Mass Blocks,Künstliche Masse Blöcke,Blocs Masse artificielle,Massa Artificiale,Bloque de masas artificiales,Blocos de Massa Artificial,Blocos de Massa Artificial,Bloki masy (grupa),Блоки искуственной массы,バラスト・ブロック,人造质量方块,人工製品方塊,인공물 블록,Yapay Kütle Blokları
ArtMassCVBlocks,Artificial Mass Blocks,Künstliche Masse Blöcke,Blocs de masse artificielle,Massa Artificiale,Bloque de masas artificiales,Blocos de Massa Artificial,Blocos de Massa Artificial,Bloki masy (grupa),Блоки искуственной массы,バラスト・ブロック,人造质量方块,人工製品方塊,인공물 블록,Yapay Kütle Blokları
ArtMassHeavy,Artificial Mass (Heavy),Künstliche Masse (schwer),Masse artificielle lourde,Massa Artificiale (Pesante),Masas artificiales (pesadas),Massa Artificial (Pesada),Massa Artificial (Pesada),Blok masy (ciężki),Искуственная масса (тяжелая),バラスト(ヘビー),人造质量（重型）,人工製品（重）,인공물(무거움),Yapay Kütle (Ağır)
ArtMassHeavyCV,Artificial Mass (Heavy),Künstliche Masse (schwer),Masse artificielle (lourd),Massa Artificiale (Pesante),Masas artificiales (pesadas),Massa Artificial (Pesada),Massa Artificial (Pesada),Blok masy (ciężki),Искуственная масса (тяжелая),バラスト(ヘビー),人造质量（重型）,人工製品（重）,인공물(무거움),Yapay Kütle (Ağır)
ArtMassLight,Artificial Mass (Light),Künstliche Masse (leicht),Masse artificielle légère,Massa Artificiale (Leggera),Masas artificiales (pesadas),Massa Artificial (Leve),Massa Artificial (Leve),Blok masy (lekki),Искуственная масса (легкая),バラスト(ライト),人造质量（轻型）,人工製品（輕）,인공물(가벼움),Yapay Kütle (Hafif)
ArtMassLightCV,Artificial Mass (Light),Künstliche Masse (leicht),Masse artificielle (légère),Massa Artificiale (Leggera),Masas artificiales (ligeras),Massa Artificial (Leve),Massa Artificial (Leve),Blok masy (lekki),Искуственная масса (легкая),バラスト(ライト),人造质量（轻型）,人工製品（輕）,인공물(가벼움),Yapay Kütle (Hafif)
ArtMassMedium,Artificial Mass (Medium),Künstliche Masse (mittel),Masse artificielle moyenne,Massa Artificiale (Media),Masas artificiales (ligeras),Massa Artificial (Média),Massa Artificial (Média),Blok masy (średni),Искуственная масса (средняя),バラスト(ミディアム),人造质量（中型）,人工製品（中）,인공물(보통),Yapay Kütle (Orta)
ArtMassMediumCV,Artificial Mass (Medium),Künstliche Masse (mittel),Masse artificielle (moyenne),Massa Artificiale (Media),Masas artificiales (medias),Massa Artificial (Média),Massa Artificial (Média),Blok masy (średni),Искуственная масса (средняя),バラスト(ミディアム),人造质量（中型）,人工製品（中）,인공물(보통),Yapay Kütle (Orta)
ConcreteBlocks,Concrete Blocks,Betonblöcke,Blocs de béton,Blocchi di Calcestruzzo,Bloques de cemento,Blocos de Cimento,Blocos de Concreto,Bloki betonowe (grupa),Бетонные блоки,コンクリート・ブロック,水泥方块,混凝土方塊,콘크리트 블록,Beton Bloklar
ConcreteDestroyedBlocks,Concrete Blocks - Destroyed,Betonblöcke - zerstört,Blocs de béton - détruits,Blocchi di Calcestruzzo - Distrutti,Bloques de cemento - Destruido,Blocos de Cimento - Destruídos,Blocos de Concreto - Destruído,"Bloki betonowe, zniszczone (grupa)",Бетонные блоки - разбитые,コンクリート・ブロック（破損）,水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,Beton Bloklar - Parçalanmış
ConcreteFull,Concrete Block,Betonblock,Bloc de béton,Blocco di Calcestruzzo,Bloques de cemento,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок,コンクリート・ブロック,水泥方块,混凝土方塊,콘크리트 블록,Beton Blok
ConcreteFullDestroyed,Concrete Block - Destroyed,Betonblock - zerstört,Bloc de béton - détruit,Blocco di Calcestruzzo - Distrutto,Bloques de cemento - Destruido,Bloco de Cimento - Destruído,Bloco de Concreto - Destruído,Blok betonowy - zniszczony,Бетонный блок - разбитый,コンクリート・ブロック（破損）,水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,Beton Blok - Parçalanmış
ConcreteThin,Concrete Block,Betonblock,Bloc de béton (fin),Blocco di Calcestruzzo (Sottile),Bloques de cemento,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок (тонкий),コンクリート・ブロック,水泥方块,混凝土方塊,콘크리트 블록,Beton Blok
ConcreteThinBlocks,Concrete Blocks (thin),Betonblöcke (dünn),Blocs de béton (fin),Blocchi di Calcestruzzo (Sottile),Bloques de cemento (fino),Blocos de Cimento (finos),Blocos de Concreto (fino),"Bloki betonowe, płaskie (grupa)",Бетонные блоки (тонкие),薄型コンクリート・ブロック（破損）,水泥方块（薄的）,混凝土方塊（薄）,콘크리트 블록(얇음),Beton Bloklar (ince)
ConcreteThinDestroyed,Concrete Blocks (thin) - Destroyed,Betonblöcke (dünn) - zerstört,Blocs de béton (fin) - détruits,Blocchi di Calcestruzzo (Sottile) - Distrutti,Bloques de cemento (fino) - Destruido,Blocos de Cimento (finos) - Destruídos,Blocos de Aço (fino) - Destruído,"Bloki betonowe, płaskie, zniszczone (grupa)",Бетонные блоки (тонкие) - разбитые,薄型コンクリート・ブロック（破損）,水泥方块（薄的） - 已损毁,混凝土方塊（薄） - 已摧毀,콘크리트 블록(얇음) - 파괴됨,Beton Bloklar (ince) - Parçalanmış
GrowingPot,Growing Plot (Steel),Pflanzenbeet (Stahl),Parcelle horticole (sathium),Terreno da Coltivazione (Acciaio),Planta de cultivo (acero),Terreno Emergente (Aço),Terra Arada (Aço),Działka ogrodnicza (stal),Растительный модуль (Сталь),農地(スチール),植物生长箱（钢制）,植物培養基（鋼鐵）,성장 대지(강철),Tarım Toprağı (Çelik)
GrowingPotConcrete,Growing Plot (Concrete),Pflanzenbeet (Beton),Parcelle horticole (béton),Terreno da Coltivazione (Calcestruzzo),Planta de cultivo (cemento),Terreno Emergente (Cimento),Terra Arada (Concreto),Działka ogrodnicza (beton),Растительный модуль (Бетон),農地(コンクリート),植物生长箱（水泥）,植物培養基（混凝土）,성장 대지(콘크리트),Tarım Toprağı (Beton)
GrowingPotWood,Growing Plot (Wood),Pflanzenbeet (Holz),Parcelle horticole (bois),Terreno da Coltivazione (Legno),Planta de cultivo (madera),Terreno Emergente (Madeira),Terra Arada (Madeira),Działka ogrodnicza (drewno),Растительный модуль (Дерево),農地(木材),植物生长箱（木制）,植物培養基（木材）,성장 대지(목재),Tarım Toprağı (Odun)
HullArmoredFull,Hardened Steel Block,Gehärteter Stahlblock,Bloc acier blindé,Blocco di Acciaio Rinforzato,Bloque de acero endurecido,Bloco de Aço Temperado,Bloco de Aço Reforçado,Blok ze stali hartowanej,Прочный стальной блок,硬化スチールブロック,加固钢制方块,硬化鋼方塊,경화 강철 블록,Sert Çelik Blok
HullArmoredFullLarge,Hardened Steel Block L,Gehärteter Stahlblock L,Grand bloc acier blindé,Blocco di Acciaio Rinforzato L,Bloque de acero endurecido L,Bloco de Aço Temperado L,Bloco de Aço Reforçado G,Blok ze stali hartowanej L,Прочный стальной блок Б,硬化スチールブロックL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Sert Çelik Blok L
HullArmoredFullSmall,Hardened Steel Block S,Gehärteter Stahlblock S,Petit bloc acier blindé,Blocco di Acciaio Rinforzato S,Bloque de acero endurecido S,Bloco de Aço Temperado S,Bloco de Aço Reforçado P,Blok ze stali hartowanej S,Прочный стальной блок М,硬化スチールブロックS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Sert Çelik Blok S
HullArmoredLargeBlocks,Hardened Steel Blocks L,Gehärtete Stahlblöcke L,Grands blocs acier blindé,Blocchi di Acciaio Rinforzato L,Bloque de acero endurecido L,Blocos de Aço Temperado L,Bloco de Aço Reforçado G,"Bloki stalowe, hartowane L (grupa)",Прочные стальные блоки Б,硬化スチールブロックL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Sert Çelik Bloklar L
HullArmoredSmallBlocks,Hardened Steel Blocks S,Gehärtete Stahlblöcke S,Petits blocs acier blindé,Blocchi di Acciaio Rinforzato S,Bloque de acero endurecido S,Blocos de Aço Temperado S,Blocos de Aço Reforçado P,"Bloki stalowe, hartowane S (grupa)",Прочные стальные блоки М,硬化スチールブロックS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Sert Çelik Bloklar S
HullArmoredThin,Hardened Steel Block,Gehärteter Stahlblock,Bloc acier blindé (fin),Blocco di Acciaio Rinforzato (Sottile),Bloque de acero endurecido,Bloco de Aço Temperado,Bloco de Aço Reforçado (fino),Blok ze stali hartowanej,Прочный стальной блок (тонкий),硬化スチールブロック,加固钢制方块,硬化鋼方塊,경화 강철 블록,Sert Çelik Blok
HullArmoredThinLarge,Hardened Steel Block L,Gehärteter Stahlblock L,Grand bloc acier blindé (fin),Blocco di Acciaio Rinforzato L (Sottile),Bloque de acero endurecido L,Bloco de Aço Temperado L,Bloco de Aço Reforçado G (fino),Blok ze stali hartowanej L,Прочный стальной блок Б (тонкий),硬化スチールブロックL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Sert Çelik Blok L
HullArmoredThinLargeBlocks,Hardened Steel Blocks L (thin),Gehärtete Stahlblöcke L (dünn),Grands blocs acier blindé (fin),Blocchi di Acciaio Rinforzato L (Sottile),Bloque de acero endurecido L (fino),Blocos de Aço Temperado L (fino),Bloco de Aço Reforçado G (fino),"Bloki stalowe, hartowane, płaskie L (grupa)",Прочные стальные блоки Б (тонкие),薄型硬化スチールブロックL,加固钢制方块 L（薄的）,硬化鋼大方塊（薄）,경화 강철 블록 L(얇음),Sert Çelik Bloklar L (ince)
HullArmoredThinSmall,Hardened Steel Block S,Gehärteter Stahlblock S,Petit bloc acier blindé (fin),Blocco di Acciaio Rinforzato S (Sottile),Bloque de acero endurecido S,Bloco de Aço Temperado S,Bloco de Aço Reforçado P (fino),Blok ze stali hartowanej S,Прочный стальной блок М (тонкий),硬化スチールブロックL,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Sert Çelik Blok S
HullArmoredThinSmallBlocks,Hardened Steel Blocks S (thin),Gehärtete Stahlblöcke S (dünn),Petits blocs acier blindé (fin),Blocchi di Acciaio Rinforzato S (Sottile),Bloque de acero endurecido S (fino),Blocos de Aço Temperado S (fino),Blocos de Aço Reforçado P (fino),"Bloki stalowe, hartowane, płaskie S (grupa)",Прочные стальные блоки М (тонкие),薄型硬化スチールブロックS,加固钢制方块 S（薄的）,硬化鋼小方塊（薄）,경화 강철 블록 S(얇음),Sert Çelik Bloklar S (ince)
HullCombatFullLarge,Combat Steel Block L,Gefechts-Stahlblock L,Grand bloc acier militaire,Blocco di Acciaio da Combattimento L,Bloque de acero de combate L,Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Блок из оружейной стали Б,戦闘用スチールブロックL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,Saldırı Çelik Bloku L
HullCombatLargeBlocks,Combat Steel Blocks L,Gefechts-Stahlblöcke L,Grands blocs acier militaire,Blocchi di Acciaio da Combattimento L,Bloque de acero de combate L,Blocos de Aço Combate L,Blocos de Aço de Combate G,"Bloki stalowe, pancerne L (grupa)",Блоки из оружейной стали Б,戦闘用スチールブロックL,战术钢制方块组 L,戰鬥鋼大方塊,전투용 강철 블록 L,Saldırı Çelik Blokları L
HullCombatThinLarge,Combat Steel Block L,Gefechts-Stahlblock L,Grand bloc acier militaire (fin),Blocco di Acciaio da Combattimento L (Sottile),Bloque de acero de combate L,Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Блок из оружейной стали Б (тонкий),戦闘用スチールブロックL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,Saldırı Çelik Bloku L
HullCombatThinLargeBlocks,Combat Steel Blocks L (thin),Gefechts-Stahlblöcke L (dünn),Grands blocs acier militaire (fin),Blocchi di Acciaio da Combattimento L (Sottile),Bloque de acero de combate L (fino),Blocos de Aço Combate L (fino),Bloco de Aço de Combate G (fino),"Bloki stalowe, pancerne, płaskie L (grupa)",Блоки из оружейной стали Б (тонкие),薄型戦闘用スチールブロックL,战术钢制方块组 L,戰鬥鋼大方塊（薄）,전투용 강철 블록 L(얇음),Saldırı Çelik Blokları L (ince)
HullDestroyed,Steel Blocks - Destroyed,Stahlblöcke - zerstört,Blocs acier - détruits,Blocchi di Acciaio - Distrutti,Bloques de acero - Destruido,Blocos de Aço - Destruídos,Blocos de Aço - Destruído,"Bloki stalowe, zniszczone (grupa)",Стальные блоки - разбитые,スチールブロック（破損）,钢制方块 - 已损毁,鋼鐵方塊 - 已摧毀,강철 블록 - 파괴됨,Çelik Bloklar - Parçalanmış
HullFull,Steel Block,Stahlblock,Bloc acier,Blocco di Acciaio,Bloque de acero,Bloco de Aço,Bloco de Aço,Blok stalowy,Стальной блок,スチールブロック,钢制方块,鋼鐵方塊,강철 블록,Çelik Blok
HullFullLarge,Steel Block L,Stahlblock L,Grand bloc acier,Blocco di Acciaio L,Bloque de acero L,Bloco de Aço L,Bloco de Ferro G,Blok stalowy L,Стальной блок Б,スチールブロックL,钢制方块 L,鋼鐵大方塊,강철 블록 L,Çelik Blok L
HullFullLargeDestroyed,Steel Block L - Destroyed,Stahlblock L - zerstört,Grand bloc acier - détruit,Blocco di Acciaio L - Distrutto,Bloques de acero L - Destruido,Bloco de Aço - Destruído,Bloco de Aço G - Destruído,Blok stalowy L - zniszczony,Стальной блок Б - разбитый,スチールブロックL,钢制方块 L - 已损毁,鋼鐵大方塊 - 已摧毀,강철 블록 L - 파괴됨,Çelik Blok L - Parçalanmış
HullFullSmall,Steel Block S,Stahlblock S,Petit bloc acier,Blocco di Acciaio S,Bloque de acero S,Bloco de Aço S,Bloco de Aço P,Blok stalowy S,Стальной блок М,スチールブロックS,钢制方块 S,鋼鐵小方塊,강철 블록 S,Çelik Blok S
